seed,model,snapshot_time,conditioning_time,pair_family,sample_count,reference_mean,reference_median,reference_p95,reference_max,learned_mean,learned_median,learned_p95,learned_max,pair_distance_min,pair_distance_median,pair_distance_max,reference_bound,reference_bound_pass,nonfinite_events
271828,latent,0.0,0.075,cyclic_cross_sample,500,-0.0060076408519816075,-0.015435808032460722,0.16815525270916876,0.3416973045911319,-0.0034071239031909497,-0.011340725235641003,0.17876075282692894,0.5388332009315491,0.21186449583714737,0.9810122272617472,1.5811365373071247,1.0001,True,0
271828,latent,0.0,0.075,sinusoidal_0.001,500,-0.6612045558321907,-0.5000757375762319,0.21787941878453235,0.46858950426737017,-0.4350444843545556,-0.31298284232616425,0.4113335371017452,0.8628660440444946,0.0031622404190681957,0.0031622775921724185,0.0031623174034204455,1.0001,True,0
271828,latent,0.0,0.075,sinusoidal_0.01,500,-0.6612070187551676,-0.5000788343915059,0.21412892943726633,0.473638311068348,-0.4333429728789779,-0.30697523057460785,0.41189426779747007,0.9268288016319275,0.03162273743517248,0.031622775611067286,0.03162280608472783,1.0001,True,0
271828,latent,0.0,0.15,cyclic_cross_sample,500,-0.0060076408519816075,-0.015435808032460722,0.16815525270916876,0.3416973045911319,-0.0034071239031909497,-0.011340725235641003,0.17876075282692894,0.5388332009315491,0.21186449583714737,0.9810122272617472,1.5811365373071247,1.0001,True,0
271828,latent,0.0,0.15,sinusoidal_0.001,500,-0.6612045558321907,-0.5000757375762319,0.21787941878453235,0.46858950426737017,-0.4350444843545556,-0.31298284232616425,0.4113335371017452,0.8628660440444946,0.0031622404190681957,0.0031622775921724185,0.0031623174034204455,1.0001,True,0
271828,latent,0.0,0.15,sinusoidal_0.01,500,-0.6612070187551676,-0.5000788343915059,0.21412892943726633,0.473638311068348,-0.4333429728789779,-0.30697523057460785,0.41189426779747007,0.9268288016319275,0.03162273743517248,0.031622775611067286,0.03162280608472783,1.0001,True,0
271828,latent,0.6,0.075,cyclic_cross_sample,500,-0.15933055892133047,-0.15975272699897503,0.009914740625369059,0.14314129727838615,-0.19069812272523995,-0.18946219235658646,-0.0340053336694837,0.13587646186351776,0.17404557041606772,0.949459784589676,1.6293373818348817,1.0001,True,0
271828,latent,0.6,0.075,sinusoidal_0.001,500,-0.9016100229922351,-0.7378872046744276,-0.025557404163382997,0.26886882260541994,-0.7474203630778938,-0.6272911131381989,0.015857364982366354,0.41199979186058044,0.0031622408012574104,0.0031622781871679627,0.0031623207940539503,1.0001,True,0
271828,latent,0.6,0.075,sinusoidal_0.01,500,-0.9016121932770166,-0.7378821472931003,-0.02623163770256428,0.26214767688341895,-0.7469711732901051,-0.6274809837341309,0.012836452107876402,0.38560351729393005,0.03162273481826685,0.03162277665968219,0.03162281680334984,1.0001,True,0
271828,latent,0.6,0.15,cyclic_cross_sample,500,-0.15933055892133047,-0.15975272699897503,0.009914740625369059,0.14314129727838615,-0.19069812272523995,-0.18946219235658646,-0.0340053336694837,0.13587646186351776,0.17404557041606772,0.949459784589676,1.6293373818348817,1.0001,True,0
271828,latent,0.6,0.15,sinusoidal_0.001,500,-0.9016100229922351,-0.7378872046744276,-0.025557404163382997,0.26886882260541994,-0.7474203630778938,-0.6272911131381989,0.015857364982366354,0.41199979186058044,0.0031622408012574104,0.0031622781871679627,0.0031623207940539503,1.0001,True,0
271828,latent,0.6,0.15,sinusoidal_0.01,500,-0.9016121932770166,-0.7378821472931003,-0.02623163770256428,0.26214767688341895,-0.7469711732901051,-0.6274809837341309,0.012836452107876402,0.38560351729393005,0.03162273481826685,0.03162277665968219,0.03162281680334984,1.0001,True,0
271828,latent,1.2,0.075,cyclic_cross_sample,500,-0.3448267280873197,-0.3355844292442619,-0.16160381313935468,0.07625288364034871,-0.3826203014999628,-0.38036970794200897,-0.22739724740386022,0.016557268798351288,0.12846224800532746,0.8118778410780068,1.5211242135874383,1.0001,True,0
271828,latent,1.2,0.075,sinusoidal_0.001,500,-1.1440645197216759,-0.9840132715129726,-0.28161492491310547,0.09149218133569169,-0.9894955265671015,-0.8837834894657135,-0.29517044425010686,0.145961195230484,0.003162229480887592,0.0031622774354628964,0.0031623306918357953,1.0001,True,0
271828,latent,1.2,0.075,sinusoidal_0.01,500,-1.1440666627441702,-0.9840127785777377,-0.28795993663480285,0.08477584250643948,-0.9887015015222133,-0.8836495578289032,-0.29852374941110615,0.1281927525997162,0.031622722665353174,0.03162277542969889,0.03162283491970232,1.0001,True,0
271828,latent,1.2,0.15,cyclic_cross_sample,500,-0.3448267280873197,-0.3355844292442619,-0.16160381313935468,0.07625288364034871,-0.3826203014999628,-0.38036970794200897,-0.22739724740386022,0.016557268798351288,0.12846224800532746,0.8118778410780068,1.5211242135874383,1.0001,True,0
271828,latent,1.2,0.15,sinusoidal_0.001,500,-1.1440645197216759,-0.9840132715129726,-0.28161492491310547,0.09149218133569169,-0.9894955265671015,-0.8837834894657135,-0.29517044425010686,0.145961195230484,0.003162229480887592,0.0031622774354628964,0.0031623306918357953,1.0001,True,0
271828,latent,1.2,0.15,sinusoidal_0.01,500,-1.1440666627441702,-0.9840127785777377,-0.28795993663480285,0.08477584250643948,-0.9887015015222133,-0.8836495578289032,-0.29852374941110615,0.1281927525997162,0.031622722665353174,0.03162277542969889,0.03162283491970232,1.0001,True,0
271828,latent,2.4,0.075,cyclic_cross_sample,500,-0.7158847607830323,-0.7195306658946234,-0.512177714706832,-0.3356438490826271,-0.6993442215323448,-0.7029933631420135,-0.5280877411365509,-0.40169939398765564,0.06066813352424881,0.4180112479382427,0.9719061613093,1.0001,True,0
271828,latent,2.4,0.075,sinusoidal_0.001,500,-1.5360921588351681,-1.3784186718465925,-0.7213026366227566,-0.3479596693495774,-1.302167217195034,-1.2085424661636353,-0.6411111027002335,-0.346844345331192,0.0031622230402137638,0.0031622773291861183,0.00316234901314941,1.0001,True,0
