seed,model,conditioning_time,horizon,composition_depth,substeps_per_call,finest_substeps_per_call,total_substeps,total_rhs_evaluations,rms_learned_flow_difference_vs_finest_l2,relative_error_mean,relative_error_p95,relative_error_max,rms_learned_prediction_discrepancy_vs_cache_reference_l2,observed_order_to_next,next_substeps_per_call,saturation_count,saturation_fraction,max_abs_latent,encoder_clamp_activation_count,encoder_clamp_activation_fraction,reencoding_abs_max,reencoding_rms,learned_flow_numerical_to_cache_discrepancy_ratio,learned_flow_numerical_confounding
161803,latent,0.075,1.2,16,8,120,128,512,3.785113099302465e-07,1.7325870627082907e-07,2.706044853084677e-07,2.996831085511076e-07,0.040812128225215204,0.007467952873630551,16,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2714761703679377e-07,,
161803,latent,0.075,1.2,16,16,120,256,1024,3.7655704995941714e-07,1.7327803303324174e-07,2.684086183535328e-07,2.854385456885211e-07,0.04081213974366623,-0.03388011233614752,30,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2676075358067625e-07,,
161803,latent,0.075,1.2,16,30,120,480,1920,3.846627186507039e-07,1.758536647411546e-07,2.836463679045664e-07,2.922138833127974e-07,0.040812108764408515,-0.0628297400933266,60,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2628673238877087e-07,9.425210563639416e-06,False
161803,latent,0.075,1.2,16,60,120,960,3840,4.0178501301671907e-07,1.83621298832648e-07,2.91530075458013e-07,3.2578864761489967e-07,0.04081212598063905,,,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2745601551127547e-07,,
161803,latent,0.15,1.2,8,8,120,64,256,2.532807889915863e-07,1.186459195334777e-07,1.5155430688196248e-07,1.6294723081955453e-07,0.040812136078713694,-0.010541238414035472,16,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.291920771417501e-07,,
161803,latent,0.15,1.2,8,16,120,128,512,2.551381953502076e-07,1.1916423914293262e-07,1.577548900399961e-07,1.7864535095668543e-07,0.04081213097461006,-0.01948555674733096,30,0,0.0,2.944438934326172,0,0.0,9.5367431640625e-07,1.3027642602361825e-07,,
161803,latent,0.15,1.2,8,30,120,240,960,2.582825473913207e-07,1.2078624700428975e-07,1.5599763258933308e-07,1.9682218521666073e-07,0.0408121302349899,-0.0995277080646456,60,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2886781923683326e-07,6.32857304688998e-06,False
161803,latent,0.15,1.2,8,60,120,480,1920,2.7672977287673504e-07,1.281927215490697e-07,1.786480844145899e-07,2.1139138084436127e-07,0.04081211509145334,,,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2834325071376728e-07,,
