epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.002041846440988593,1.4507359708204604e-05,0.002041846440988593,,0.8593795299530029,False
2,0.00202887668274343,2.2707103084940172e-05,0.00202887668274343,,0.8511244654655457,False
3,0.002016114041907713,1.041026632719877e-05,0.002016114041907713,,0.8505371809005737,False
4,0.00200875656446442,1.2869155511907593e-05,0.00200875656446442,,0.8507111072540283,False
5,0.002000451218918897,1.748359989051096e-05,0.002000451218918897,0.0025056060403585434,0.8505710959434509,True
6,0.001994478254346177,1.962715771242074e-05,0.001994478254346177,,0.8505939245223999,False
7,0.001987465118872933,2.2948117475607432e-05,0.001987465118872933,,0.8509224653244019,False
8,0.001976497020223178,3.022148075615405e-05,0.001976497020223178,,0.8507086634635925,False
9,0.001971786725334823,3.640610111688147e-05,0.001971786725334823,,0.8504165410995483,False
10,0.001959957051440142,4.825532096219831e-05,0.001959957051440142,0.0024583039339631796,0.8505396842956543,True
11,0.0019530253048287705,5.706861384169315e-05,0.0019530253048287705,,0.8504651784896851,False
12,0.0019469362014206126,7.100504944901331e-05,0.0019469362014206126,,0.8525372743606567,False
13,0.0019325257308082655,8.606623578089057e-05,0.0019325257308082655,,0.8502500653266907,False
14,0.0019262809364590794,0.00010601781377772568,0.0019262809364590794,,0.8506253361701965,False
15,0.001912229708977975,0.00012886703279946232,0.001912229708977975,0.0023945088032633066,0.8501283526420593,True
16,0.0019009591633221135,0.0001448315797460964,0.0019009591633221135,,0.8504328727722168,False
17,0.0018876414542319253,0.00017658575598034076,0.0018876414542319253,,0.8500345349311829,False
18,0.0018744219851214439,0.00020235344163666014,0.0018744219851214439,,0.8507727384567261,False
19,0.0018603148055262864,0.0002420600958430441,0.0018603148055262864,,0.8496265411376953,False
20,0.0018496014672564343,0.000284767276752973,0.0018496014672564343,0.002322647487744689,0.8498968482017517,True
21,0.001834338137996383,0.00033369728771504015,0.001834338137996383,,0.8497886061668396,False
22,0.0018241088837385178,0.00038832961945445277,0.0018241088837385178,,0.8488674759864807,False
23,0.0018151394469896331,0.00044615961451199837,0.0018151394469896331,,0.8515294790267944,False
24,0.0017952808120753616,0.0005117236250953283,0.0017952808120753616,,0.8496322631835938,False
25,0.0017852466262411326,0.0005923933204030618,0.0017852466262411326,0.0022230702452361584,0.8484079241752625,True
26,0.0017670833913143724,0.0006527680889121257,0.0017670833913143724,,0.851586639881134,False
27,0.0017551545752212405,0.0007482077344320714,0.0017551545752212405,,0.8478754758834839,False
28,0.0017378754273522645,0.000830617529572919,0.0017378754273522645,,0.8482586145401001,False
29,0.001729272771626711,0.000924817388295196,0.001729272771626711,,0.8481382727622986,False
30,0.0017154870147351176,0.0010280058049829677,0.0017154870147351176,0.002156147500500083,0.8576317429542542,True
31,0.0016963369271252304,0.0011328286345815286,0.0016963369271252304,,0.8518483638763428,False
32,0.0016873096610652283,0.001268544772756286,0.0016873096610652283,,0.8466138243675232,False
