candidate_dtype,dt,kind,reference_dt,reference_dtype,reference_resolution,relative_l2,resolution,sample
,0.0005,spatial,,,512,7.174724414066428e-17,256,9
,0.0005,spatial,,,512,0.0001075679912387052,64,10
,0.0005,spatial,,,512,1.1893131266691452e-05,128,10
,0.0005,spatial,,,512,9.000395656922968e-06,256,10
,0.0005,spatial,,,512,6.862083737847194e-17,64,11
,0.0005,spatial,,,512,3.8360214262805423e-17,128,11
,0.0005,spatial,,,512,6.532509097610343e-17,256,11
,0.0005,spatial,,,512,0.00013040673489047574,64,12
,0.0005,spatial,,,512,2.8743916356884313e-05,128,12
,0.0005,spatial,,,512,1.0445593938112552e-06,256,12
,0.0005,spatial,,,512,8.089727988019923e-17,64,13
,0.0005,spatial,,,512,7.31743428880876e-17,128,13
,0.0005,spatial,,,512,7.317434288808761e-17,256,13
,0.0005,spatial,,,512,0.0001356218527423658,64,14
,0.0005,spatial,,,512,1.4700909100634639e-05,128,14
,0.0005,spatial,,,512,9.213286094322859e-06,256,14
,0.0005,spatial,,,512,9.86892202741766e-17,64,15
,0.0005,spatial,,,512,8.546737183711516e-17,128,15
,0.0005,spatial,,,512,1.4803383041126485e-16,256,15
,0.0005,spatial,,,512,1.6256908789810365e-16,64,16
,0.0005,spatial,,,512,6.341734750670245e-17,128,16
,0.0005,spatial,,,512,1.562620502797414e-16,256,16
,0.0005,spatial,,,512,1.0733772430599653e-16,64,17
,0.0005,spatial,,,512,5.628837749728875e-17,128,17
,0.0005,spatial,,,512,6.000361202458492e-17,256,17
,0.0005,spatial,,,512,1.240114240423899e-16,64,18
,0.0005,spatial,,,512,7.496125057544568e-17,128,18
,0.0005,spatial,,,512,7.59411777949423e-17,256,18
,0.0005,spatial,,,512,0.00013377364427186487,64,19
,0.0005,spatial,,,512,2.2435565801848297e-05,128,19
,0.0005,spatial,,,512,6.230873491351597e-06,256,19
float32,0.005,float32_vs_float64,,float64,,2.31786722792715e-06,64,0
float32,0.005,float32_vs_float64,,float64,,4.5115518951527157e-07,64,1
float32,0.005,float32_vs_float64,,float64,,6.070709370691815e-07,64,2
float32,0.005,float32_vs_float64,,float64,,6.681622533085927e-07,64,3
float32,0.005,float32_vs_float64,,float64,,1.2267352524541833e-06,64,4
float32,0.005,float32_vs_float64,,float64,,4.481681490829572e-07,64,5
float32,0.005,float32_vs_float64,,float64,,2.6160847039575973e-06,64,6
float32,0.005,float32_vs_float64,,float64,,3.0051098709928626e-06,64,7
float32,0.005,float32_vs_float64,,float64,,9.212336156452577e-07,64,8
float32,0.005,float32_vs_float64,,float64,,1.0422902797008448e-06,64,9
float32,0.005,float32_vs_float64,,float64,,1.430383712375495e-06,64,10
float32,0.005,float32_vs_float64,,float64,,1.1968007475181262e-06,64,11
float32,0.005,float32_vs_float64,,float64,,1.0683130749890588e-06,64,12
float32,0.005,float32_vs_float64,,float64,,1.1445719122275135e-06,64,13
float32,0.005,float32_vs_float64,,float64,,2.026046353547549e-06,64,14
float32,0.005,float32_vs_float64,,float64,,1.560745633571368e-06,64,15
float32,0.005,float32_vs_float64,,float64,,7.336522949232367e-07,64,16
float32,0.005,float32_vs_float64,,float64,,1.0056558819420473e-06,64,17
float32,0.005,float32_vs_float64,,float64,,1.1719103518586228e-06,64,18
float32,0.005,float32_vs_float64,,float64,,1.8030709124102275e-06,64,19
float32,0.005,production_vs_fine,0.0005,float64,512,0.00011165760924480885,64,0
float32,0.005,production_vs_fine,0.0005,float64,512,4.5116480560324933e-07,64,1
float32,0.005,production_vs_fine,0.0005,float64,512,6.070703292178341e-07,64,2
float32,0.005,production_vs_fine,0.0005,float64,512,6.681628314735913e-07,64,3
float32,0.005,production_vs_fine,0.0005,float64,512,1.2267402162763475e-06,64,4
float32,0.005,production_vs_fine,0.0005,float64,512,4.481734652081025e-07,64,5
float32,0.005,production_vs_fine,0.0005,float64,512,2.6160735018615347e-06,64,6
float32,0.005,production_vs_fine,0.0005,float64,512,0.00014819939905949151,64,7
float32,0.005,production_vs_fine,0.0005,float64,512,9.212315437753741e-07,64,8
float32,0.005,production_vs_fine,0.0005,float64,512,1.0422898994664882e-06,64,9
float32,0.005,production_vs_fine,0.0005,float64,512,0.00010839794331534722,64,10
float32,0.005,production_vs_fine,0.0005,float64,512,1.1968125712698385e-06,64,11
float32,0.005,production_vs_fine,0.0005,float64,512,0.00013098167402645838,64,12
float32,0.005,production_vs_fine,0.0005,float64,512,1.1445678381907876e-06,64,13
float32,0.005,production_vs_fine,0.0005,float64,512,0.00013421592236736467,64,14
float32,0.005,production_vs_fine,0.0005,float64,512,1.5607579313290648e-06,64,15
float32,0.005,production_vs_fine,0.0005,float64,512,7.336522449539118e-07,64,16
float32,0.005,production_vs_fine,0.0005,float64,512,1.0056469374088972e-06,64,17
float32,0.005,production_vs_fine,0.0005,float64,512,1.1719235939844605e-06,64,18
float32,0.005,production_vs_fine,0.0005,float64,512,0.00013502245270116908,64,19
