update,loss,validation_mse,training_seconds
1,0.0040510669350624084,0.14251254652369877,2.8683933913707733
100,3.179576015099883e-05,0.002044554568293316,4.639391772449017
200,3.132104029646143e-05,0.0022051047419760954,6.4358055628836155
300,3.123881106148474e-05,0.0021988338576757107,8.231265548616648
400,3.1142946681939065e-05,0.0021923260486331605,10.023006532341242
500,3.10357499984093e-05,0.0021853652993097587,11.8161386474967
600,3.091821417910978e-05,0.002178026523729694,13.603933203965425
700,3.0790593882557005e-05,0.0021702574254219235,15.56575571373105
800,3.065222335862927e-05,0.0021619147606953444,17.05924068391323
900,3.0501907531288452e-05,0.0021527803912784363,18.55289113149047
1000,3.0337840144056827e-05,0.0021425720456075886,20.04146960377693
1100,3.015755100932438e-05,0.002130957687526107,21.231359660625458
1200,3.001061122631654e-05,0.002117084374964632,22.421079725027084
1300,2.9735445423284546e-05,0.0021018737155277596,23.609461341053247
1400,2.9485463528544642e-05,0.0020836815409539045,24.79748561605811
1500,2.9201602956163697e-05,0.002062438571662524,25.98760150745511
1600,2.887604023271706e-05,0.0020372184119107225,27.68729653581977
1700,2.8500340704340488e-05,0.0020077705663191993,29.17437643185258
1800,2.8060861950507388e-05,0.0019727376305455906,30.662951108068228
1900,2.7538888389244676e-05,0.0019309071516195615,32.15000279992819
2000,2.6906735001830384e-05,0.0018797317538495916,33.64062463119626
2100,2.6117526431335136e-05,0.001816100829307215,35.12696094810963
2200,2.508062061679084e-05,0.0017330508208185515,36.611403189599514
2300,2.3589684133185074e-05,0.001615643752730874,38.371973030269146
2400,2.1083440515212715e-05,0.0014235240768703322,40.172906357795
2500,1.598293602000922e-05,0.0010532889661425463,41.67092229053378
2600,6.786320227547549e-06,0.0004383576775084177,43.164531365036964
2700,8.319850053339906e-07,6.173418537474473e-05,44.659269362688065
2800,1.7445589151066088e-07,1.2644015986038329e-05,46.164019260555506
2900,1.5571326628105453e-07,1.0070805986152372e-05,48.00553181767464
3000,1.4988947327765345e-07,9.399383677171152e-06,49.18317773938179
3100,1.4871159237372922e-07,9.51331116937756e-06,50.35850394517183
3200,1.4167441975132533e-07,9.168966716190772e-06,52.21236855536699
3300,1.3784190855403722e-07,9.04435916393559e-06,54.130182810127735
3400,1.3502076967597532e-07,8.952878822999919e-06,55.61569731682539
3500,1.306702870351728e-07,8.763872973974032e-06,57.102790992707014
3600,1.458336100768065e-07,8.664967102862337e-06,58.58886069431901
3700,1.238090305832884e-07,8.439933382486706e-06,60.07671435177326
3800,1.2040912622524047e-07,8.259137891926528e-06,61.564472775906324
3900,1.170990202581379e-07,8.086370075385166e-06,63.477516535669565
4000,1.1375401243185479e-07,7.88158784719508e-06,64.96751952543855
4100,1.1251936626877068e-07,7.673406625423573e-06,66.75814978033304
4200,1.0717779019842055e-07,7.475042227335921e-06,68.24030246958137
4300,1.0387805104983272e-07,7.258522969358448e-06,69.72036014869809
4400,1.007400953767501e-07,7.047982666821707e-06,71.50448813661933
4500,9.740114137457567e-08,6.823515178614786e-06,73.28925672918558
4600,1.2766194856794755e-07,8.459490276763094e-06,75.2841225899756
4700,9.10155861788553e-08,6.374953563598099e-06,77.03372325748205
4800,8.780553173437511e-08,6.149724277311693e-06,78.52129873260856
4900,9.025410463436856e-08,5.945650240853571e-06,80.58702031522989
5000,8.157230979577434e-08,5.700235852515872e-06,82.3762355260551
5100,7.88859324529767e-08,5.467835150279315e-06,84.16732417047024
5200,7.550667646682996e-08,5.2514088122187924e-06,85.95770067349076
5300,7.250370259725969e-08,5.032038674150788e-06,87.74514620751143
5400,7.272581115103094e-08,6.160191043448246e-06,89.53403624892235
5500,6.673973729220961e-08,4.6022093893690936e-06,91.32362236827612
5600,6.389434048514886e-08,4.390020146952497e-06,93.11113390699029
5700,1.0301150865643649e-07,4.849264228485066e-06,94.89954031258821
5800,5.846695572131466e-08,3.984120019236259e-06,96.68836963921785
5900,5.5810801313782576e-08,3.783848503857105e-06,98.17784839123487
6000,5.350054266273219e-08,3.6244615020088003e-06,99.66438938304782
6100,5.079605003288634e-08,3.4075129183370717e-06,101.14982826262712
6200,1.4809930348747002e-07,3.359229316214282e-06,102.91934446617961
6300,4.608399351013759e-08,3.052853130806152e-06,104.70818901434541
6400,4.377911722031058e-08,2.880622120182363e-06,106.49799180030823
6500,4.16463130648026e-08,2.7992626679831743e-06,108.28723773732781
6600,3.951221216880185e-08,2.5619840087504053e-06,110.07614896073937
6700,3.8056523266050135e-08,2.429104939013426e-06,112.00210029259324
6800,3.558749028798047e-08,2.2714742824504977e-06,113.48846388980746
6900,3.368268508552319e-08,2.1281954967476302e-06,114.97492549195886
7000,1.0789398174892995e-07,6.881501631728594e-06,116.4642364308238
