update,loss,validation_mse,training_seconds
1,0.004286190029233694,0.15066491933651083,1.529881501570344
100,4.0326711314264685e-05,0.002344211549767194,3.264993790537119
200,3.9584538171766326e-05,0.0025378793981925994,5.018662270158529
300,3.95158858736977e-05,0.0025332138277779632,6.8759822603315115
400,3.942953480873257e-05,0.002526794818472606,8.32044007256627
500,3.932406980311498e-05,0.002518813945037076,10.044963477179408
600,3.9200924220494926e-05,0.0025075277594808435,11.487420823425055
700,3.904924960806966e-05,0.0024982061242962315,12.929648851975799
800,3.887322236550972e-05,0.0024850509978537436,14.369564024731517
900,3.8665202737320215e-05,0.00247016772385341,15.812612030655146
1000,3.8417885662056506e-05,0.002451095900799128,17.256451020017266
1100,3.812885552179068e-05,0.002432257605657441,18.699094934388995
1200,3.776613448280841e-05,0.0024027474377354635,20.44645463488996
1300,3.7330395571189e-05,0.0023706905144001414,22.39307826757431
1400,3.680566078401171e-05,0.0023282799848971534,23.885684810578823
1500,3.609772102208808e-05,0.002280778812971247,25.635537866503
1600,3.51917406078428e-05,0.0022153972427437258,27.38811802305281
1700,3.3952408557524905e-05,0.0021270854093458874,29.143545985221863
1800,3.2159841794054955e-05,0.0020014525838171655,30.894809238612652
1900,2.9375260055530816e-05,0.0018108861510213413,32.64576371200383
2000,2.4737408239161596e-05,0.001504511684834152,34.39662363752723
