epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.0022509125410579145,0.0,0.0022509125410579145,,0.8511699438095093,False
2,0.0021706394327338785,0.0,0.0021706394327338785,,0.8736758828163147,False
3,0.0021417700627353042,0.0,0.0021417700627353042,,0.8773128390312195,False
4,0.0021394573705038056,0.0,0.0021394573705038056,,0.8825951814651489,False
5,0.0021321885724319145,0.0,0.0021321885724319145,0.002587715396657586,0.8830143213272095,True
6,0.002127816609572619,0.0,0.002127816609572619,,0.8782789707183838,False
7,0.0021238186018308625,0.0,0.0021238186018308625,,0.8750864267349243,False
8,0.0021183990611461923,0.0,0.0021183990611461923,,0.8734735250473022,False
9,0.0021157418232178316,0.0,0.0021157418232178316,,0.8772147297859192,False
10,0.002109583394485526,0.0,0.002109583394485526,0.0025602011010050774,0.8779475092887878,True
11,0.002103208069456741,0.0,0.002103208069456741,,0.8799572587013245,False
12,0.0020994370861444622,0.0,0.0020994370861444622,,0.8757654428482056,False
13,0.0020924146083416417,0.0,0.0020924146083416417,,0.8726833462715149,False
14,0.0020841941732214764,0.0,0.0020841941732214764,,0.8786921501159668,False
15,0.00208071107044816,0.0,0.00208071107044816,0.0025176345370709896,0.8807263970375061,True
16,0.002068680332740769,0.0,0.002068680332740769,,0.8785263895988464,False
17,0.002060802624328062,0.0,0.002060802624328062,,0.8782212138175964,False
18,0.0020501096732914448,0.0,0.0020501096732914448,,0.8787233233451843,False
19,0.0020423082751221955,0.0,0.0020423082751221955,,0.877720296382904,False
20,0.0020263355545466766,0.0,0.0020263355545466766,0.002451360924169421,0.8787779211997986,True
21,0.002017871680436656,0.0,0.002017871680436656,,0.8733590245246887,False
22,0.0020041162060806528,0.0,0.0020041162060806528,,0.878430187702179,False
23,0.0019868661474902183,0.0,0.0019868661474902183,,0.8811959624290466,False
24,0.0019770396465901285,0.0,0.0019770396465901285,,0.8801315426826477,False
25,0.0019606293935794383,0.0,0.0019606293935794383,0.0023649546783417463,0.8720989227294922,True
26,0.0019359404250280932,0.0,0.0019359404250280932,,0.8845034837722778,False
