update,loss,validation_mse,training_seconds
1,0.004917345009744167,0.15760820706488396,1.5156140672042966
100,3.7623591197188944e-05,0.002419521802544385,3.543457447551191
200,3.6955483665224165e-05,0.0026012496161774267,5.582933935336769
300,3.6531866498989984e-05,0.002611658095193877,7.640085134655237
400,3.605995880207047e-05,0.0026249729145945123,9.462231333367527
500,3.557786112651229e-05,0.002639120511687706,11.37428249977529
600,3.5101511457469314e-05,0.0026523864747337264,13.27903267275542
700,3.466993075562641e-05,0.0026639527639200603,15.013376508839428
800,3.4326942113693804e-05,0.0026727772083435736,16.838165635243058
900,3.4056156437145546e-05,0.0026775382314209667,18.70472544711083
1000,3.380868292879313e-05,0.0026771897927396404,20.523577300831676
1100,3.354790896992199e-05,0.0026709317162023904,22.353324451483786
1200,3.325011857668869e-05,0.002658062735440833,24.17048697080463
1300,3.2894047762965783e-05,0.0026376551940446454,25.991031902842224
1400,3.245192419853993e-05,0.0026079271561851576,27.807006863877177
1500,3.187749462085776e-05,0.002565215127664008,29.62291143927723
1600,3.1082454370334744e-05,0.002501802658553377,31.44022389035672
1700,2.9879493013140745e-05,0.0024013733643512315,33.25473809428513
1800,2.784180651360657e-05,0.0022286452134896648,35.26163616031408
1900,2.4025397578952834e-05,0.0019114611647892698,37.206741192378104
2000,1.707856063148938e-05,0.0013615534595914098,38.80858211405575
