epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.002873367164283991,0.004412748850882053,0.00284779539409404,0.06627435982227325,0.005163803696632385,0.03843468427658081
10,0.0009581918711774051,0.0037838174030184746,0.0008311699566547759,0.020350381731987,0.0466340072453022,0.11343685910105705
20,5.20440808031708e-05,0.0007276053074747324,8.036038646726713e-05,0.003864556085318327,0.09221769869327545,0.19463486969470978
30,0.00013382853649090976,0.001802588813006878,0.00010104444906270753,0.00480914581567049,0.13859906420111656,0.2740623354911804
40,5.126203905092552e-05,0.0006674432661384344,6.177225774687638e-05,0.001419421867467463,0.18396740779280663,0.35301847010850906
50,4.547461503534578e-05,0.0004972760798409581,4.49401148519731e-05,0.001213442301377654,0.2295103743672371,0.43208901211619377
60,4.040538988192566e-05,0.0003490594681352377,3.900949968738132e-05,0.0017633072566241026,0.27499863132834435,0.5109674260020256
70,3.621952419052832e-05,4.5455581130227074e-05,3.6382862466174025e-05,0.001324598677456379,0.32060838863253593,0.5932706780731678
80,3.685046249302104e-05,0.00014207747881300747,3.766763923825541e-05,0.0012477317359298468,0.3660137690603733,0.6716609820723534
90,3.621579526225105e-05,6.086892608436756e-05,3.60457634087652e-05,0.0013831004034727812,0.4132346734404564,0.7537970133125782
100,3.606286190915853e-05,2.0511186448857188e-05,3.623026320080195e-05,0.001324714976362884,0.4587046913802624,0.8359422609210014
110,3.605181336752139e-05,3.129756441921927e-05,3.63825040494703e-05,0.0013033017748966813,0.5042262375354767,0.914628155529499
120,3.5993540222989395e-05,1.8709852156462148e-05,3.608220087395845e-05,0.0013337063137441874,0.5503531210124493,0.9937635622918606
130,3.594532608985901e-05,9.714369298308156e-06,3.6164395017597904e-05,0.0013149864971637726,0.5957907885313034,1.0724455155432224
140,3.5904653486795723e-05,1.0178639058722183e-05,3.6107766845816514e-05,0.0013151403982192278,0.6421960331499577,1.1519300043582916
150,3.5861608921550214e-05,9.949601917469408e-06,3.60330447316907e-05,0.0013174619525671005,0.6877227574586868,1.231610395014286
160,3.58159959432669e-05,9.665107427281328e-06,3.602204916811994e-05,0.0013112794840708375,0.7332197353243828,1.3104369677603245
170,3.5768440284300596e-05,9.416731700184755e-06,3.595663747546496e-05,0.001311632338911295,0.7794030494987965,1.3899568542838097
180,3.571872366592288e-05,9.474323633185122e-06,3.591398050654485e-05,0.0013087469851598144,0.8248952850699425,1.468893863260746
190,3.5666780604515225e-05,9.558388228469994e-06,3.586360571716796e-05,0.0013064526719972491,0.870970144867897,1.548337459564209
200,3.561247285688296e-05,9.608509571989998e-06,3.580766133381985e-05,0.0013044691877439618,0.9165687374770641,1.627382230013609
210,3.5555789509089664e-05,9.69184020505054e-06,3.575447605423202e-05,0.0013017497258260846,0.9628196619451046,1.7071270979940891
220,3.5496646887622774e-05,9.758531632542145e-06,3.5694899149045035e-05,0.0012994268909096718,1.008327130228281,1.7871723286807537
230,3.543491038726643e-05,9.839810445555486e-06,3.5635118213879956e-05,0.0012966961367055774,1.0539866723120213,1.8662953712046146
240,3.537066368153319e-05,9.920104275806807e-06,3.557166883183527e-05,0.001294002984650433,1.1001610718667507,1.9459099844098091
250,3.530363392201252e-05,1.0004443538491614e-05,3.550593570859443e-05,0.001291140215471387,1.1457293964922428,2.02499820291996
260,3.523379928083159e-05,1.0092313459608704e-05,3.543734374034102e-05,0.0012881715083494782,1.1918572708964348,2.1045139878988266
270,3.516106880852021e-05,1.0182884579990059e-05,3.5365836235238625e-05,0.0012850878993049264,1.2434925846755505,2.1896039731800556
280,3.508543159114197e-05,1.0277466572006233e-05,3.5291457758527635e-05,0.0012818663381040096,1.289499331265688,2.269085954874754
290,3.500661114230752e-05,1.0375239071436226e-05,3.521387050871757e-05,0.0012785234721377492,1.3351101279258728,2.350753877311945
300,3.4924443752970546e-05,1.0476999705133494e-05,3.513313004077645e-05,0.0012750398600474,1.3806635662913322,2.429823599755764
310,3.4838958526961505e-05,1.0582408322079573e-05,3.5048944785861145e-05,0.0012714171316474676,1.4291684292256832,2.5119467228651047
320,3.474990444374271e-05,1.0691892384784296e-05,3.4961272073511886e-05,0.0012676459737122059,1.474791556596756,2.5946659855544567
330,3.465716145001352e-05,1.0805595593410544e-05,3.486986596120308e-05,0.0012637210311368108,1.5205314606428146,2.6739163361489773
340,3.45605549227912e-05,1.0923707122856285e-05,3.4774661420063545e-05,0.0012596353190019727,1.5677278004586697,2.7551622539758682
350,3.445985203143209e-05,1.1046437975892331e-05,3.4675306399852467e-05,0.0012553829001262784,1.6134437918663025,2.8343323469161987
360,3.435494363657199e-05,1.1174071914865635e-05,3.457181719568325e-05,0.0012509514344856143,1.660844698548317,2.9152267165482044
370,3.4245542337885126e-05,1.1306719898129813e-05,3.4463801284800866e-05,0.0012463392922654748,1.7064202018082142,2.996251091361046
380,3.4131473512388766e-05,1.1444771189417224e-05,3.435113421801361e-05,0.0012415304081514478,1.7519777044653893,3.0752392821013927
390,3.4012424293905497e-05,1.1588552297325805e-05,3.423343529599757e-05,0.0012365184957161546,1.8005629852414131,3.157228648662567
400,3.388824188732542e-05,1.1738336979760788e-05,3.411049025695926e-05,0.00123129365965724,1.8461135551333427,3.236302375793457
