epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.002204443677328527,1.8711600086041003e-07,0.0022046308004064485,,0.8569706678390503,False
2,0.002159924290026538,1.4443935754115955e-06,0.0021613686840282753,,0.865614652633667,False
3,0.0021431481291074306,3.5140766101449117e-06,0.0021466621983563527,,0.8752027750015259,False
4,0.0021409197070170194,5.3101154549040075e-06,0.0021462298172991723,,0.8764684796333313,False
5,0.0021375083160819486,6.143055657048535e-06,0.002143651377991773,0.0025757981929928064,0.8758955597877502,True
6,0.0021359083912102506,6.384631575429012e-06,0.0021422930294647813,,0.8744585514068604,False
7,0.00213300934410654,6.695284980651195e-06,0.002139704651199281,,0.8693710565567017,False
8,0.002131896879291162,7.825131262961804e-06,0.002139722026186064,,0.8685329556465149,False
9,0.0021294717444106936,8.918608614294499e-06,0.0021383903513196856,,0.8719772100448608,False
10,0.002135845454176888,9.597639802905178e-06,0.002145443082554266,0.002552513498812914,0.8660842180252075,True
11,0.002124477381585166,1.0771941731491097e-05,0.002135249349521473,,0.8702967166900635,False
12,0.002126215767930262,1.2131878861509904e-05,0.0021383476414484903,,0.8708034157752991,False
13,0.002122219157172367,1.3731323406318552e-05,0.002135950475349091,,0.8695851564407349,False
14,0.0021240701898932457,1.4235129128792323e-05,0.0021383053535828367,,0.8659111261367798,False
15,0.002120794728398323,1.5241827099998773e-05,0.002136036564479582,0.0025415848940610886,0.8730948567390442,True
16,0.002125419705407694,1.622461752504023e-05,0.0021416442905319855,,0.8669644594192505,False
17,0.0021138518932275474,1.6343961874554225e-05,0.002130195847712457,,0.8683792352676392,False
18,0.002117679687216878,1.7400766864739126e-05,0.002135080430889502,,0.8717322945594788,False
19,0.0021183703938731924,1.8204663206233818e-05,0.0021365750581026077,,0.8668231964111328,False
20,0.0021152733679628,1.870590256203286e-05,0.0021339792729122564,0.0025333818048238754,0.8672641515731812,True
21,0.0021138127194717526,1.9105317278445e-05,0.0021329180453903973,,0.8717162013053894,False
22,0.002112095942720771,2.0160582039352448e-05,0.0021322565153241158,,0.8673146963119507,False
23,0.002113800248480402,2.0816219603148056e-05,0.0021346164867281914,,0.8715099096298218,False
24,0.002110912711941637,2.0968880562577397e-05,0.0021318815706763417,,0.8648903369903564,False
25,0.0021086100750835612,2.1150483007659204e-05,0.0021297605999279767,0.002525814576074481,0.8673676252365112,True
26,0.002109502223902382,2.1465363374773005e-05,0.0021309676085365936,,0.8668966293334961,False
27,0.002113885318976827,2.232982080840884e-05,0.0021362151310313493,,0.8644305467605591,False
28,0.0021088721114210784,2.241066260921798e-05,0.0021312827739166096,,0.8682180047035217,False
29,0.002108281885739416,2.3359796387012466e-05,0.002131641682353802,,0.867416501045227,False
30,0.0021069777430966496,2.422490047138126e-05,0.002131202636519447,0.0025287747848778963,0.871306836605072,False
31,0.0021086749620735645,2.3749566253172816e-05,0.0021324245317373425,,0.868179202079773,False
32,0.0021049584756838158,2.3863379510657978e-05,0.00212882187042851,,0.8671537041664124,False
33,0.0021057289850432426,2.4027093104450614e-05,0.0021297560597304255,,0.8670266270637512,False
34,0.0021052211959613487,2.4714398932701442e-05,0.0021299356158124283,,0.8682238459587097,False
35,0.0021029958879807964,2.517404504942533e-05,0.002128169930074364,0.002519383793696761,0.8695915341377258,True
36,0.002101539255818352,2.4676319981153938e-05,0.002126215535099618,,0.8665717840194702,False
37,0.00210458756191656,2.484573610672669e-05,0.0021294333128025755,,0.8654646873474121,False
38,0.0021024816524004564,2.5581063027857454e-05,0.0021280627115629613,,0.8664202094078064,False
39,0.0021043756714789197,2.5940007162716938e-05,0.0021303156827343628,,0.8687745332717896,False
40,0.0021077331039123237,2.6079935423695133e-05,0.002133813060936518,0.0025274897925555706,0.8645965456962585,False
41,0.002102541402564384,2.5721136807987932e-05,0.0021282625530147925,,0.8683560490608215,False
42,0.0021004351001465693,2.5177733277814696e-05,0.0021256128238746896,,0.8685799241065979,False
43,0.002101799487718381,2.5903755386025296e-05,0.0021277032210491598,,0.8655442595481873,False
44,0.002098937053233385,2.6320896949982853e-05,0.0021252579608699307,,0.868598997592926,False
45,0.0020987143216188997,2.6749441872198076e-05,0.0021254637540550902,0.0025184627156704664,0.8652699589729309,True
46,0.002100990226608701,2.6024794124168693e-05,0.00212701503187418,,0.8692329525947571,False
47,0.0020949386089341715,2.5900150149027468e-05,0.0021208387333899736,,0.8676142692565918,False
48,0.0020960777765139937,2.6915726039078436e-05,0.002122993493685499,,0.8684264421463013,False
49,0.002095008167088963,2.67668381184194e-05,0.0021217750036157668,,0.8676133751869202,False
50,0.002093137300107628,2.6549521180641023e-05,0.002119686803780496,0.0025082374922931194,0.8665834665298462,True
51,0.002095852731144987,2.7708534616976976e-05,0.002123561265761964,,0.8680227398872375,False
52,0.002091657734126784,2.790462417578965e-05,0.002119562355801463,,0.8690654039382935,False
53,0.0020894649060210213,2.732089728851861e-05,0.002116785806720145,,0.8663961887359619,False
54,0.0020913150656269863,2.7876933472725796e-05,0.002119192009558901,,0.8632111549377441,False
55,0.0020903508993797004,2.8814046800107462e-05,0.002119164928444661,0.0025062335189431906,0.869818389415741,True
56,0.00208286645647604,2.868859382942901e-05,0.002111555077135563,,0.8673186302185059,False
57,0.002085433865431696,2.8009421157548786e-05,0.002113443275447935,,0.8615264296531677,False
