root,cell,scheme,budget,length,mode,seed,model,checkpoint,primary_mse,generator_grid_mse,generator_reference_mse,bound_violation,energy_monotone,stress_mse,training_seconds,epochs,selected_epoch,privileged
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,epoch120,0.006004570718205622,0.027640035375952717,0.03007488511502743,0.0,0.8766741071428571,0.007995152535999906,29.144272182136774,2000,120,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,epoch400,0.004978659398149543,0.02312804013490677,0.025749772787094113,0.0,0.8892299107142857,0.0065897633102588475,29.144272182136774,2000,400,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,final,8.805017860788186e-07,0.00011151068166350911,1.0059558846179825e-05,0.0,1.0,1.8227203947995555e-06,28.684023685753345,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,best_one_step,9.424596654490834e-07,0.00011469936508478867,1.0953359923725227e-05,0.0,1.0,1.9979641815991176e-06,28.684023685753345,2000,1850,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,best_rollout,8.805017860788186e-07,0.00011151068166350911,1.0059558846179825e-05,0.0,1.0,1.8227203947995555e-06,28.684023685753345,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,epoch120,0.00597682131173242,0.027336499927804774,0.029904890342939746,0.0,0.8816964285714286,0.007909599822358011,28.684023685753345,2000,120,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,epoch400,0.005086431699092037,0.023328396287905232,0.026141095417869083,0.0,0.8931361607142857,0.006681364029755711,28.684023685753345,2000,400,False
rate-L4,midpoint-b4-L4-initial-s161803-A,midpoint,4,4,initial,161803,A,final,4.397236229864809e-07,6.564406794495875e-05,2.7920514185097983e-06,0.0,1.0,3.931728092458401e-07,8.406397499144077,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s161803-A,midpoint,4,4,initial,161803,A,best_one_step,3.8236068176301943e-07,6.551143451360986e-05,2.766396846709539e-06,0.0,1.0,3.7680873224502657e-07,8.406397499144077,2000,1980,False
rate-L4,midpoint-b4-L4-initial-s161803-A,midpoint,4,4,initial,161803,A,best_rollout,3.8065402979500386e-07,6.545199721585956e-05,2.7642233817459804e-06,0.0,1.0,3.758575379391001e-07,8.406397499144077,2000,1970,False
rate-L4,midpoint-b4-L4-initial-s161803-A,midpoint,4,4,initial,161803,A,epoch120,0.007411154050028408,0.03394339233636857,0.037779714912176125,0.0,0.8479352678571428,0.010218063964785537,8.406397499144077,2000,120,False
rate-L4,midpoint-b4-L4-initial-s161803-A,midpoint,4,4,initial,161803,A,epoch400,0.0066652051029866,0.030723644420504573,0.03460270166397095,0.0,0.8560267857142857,0.009137019289367776,8.406397499144077,2000,400,False
rate-L4,midpoint-b4-L4-initial-s161803-B,midpoint,4,4,initial,161803,B,final,4.3559406482677814e-07,4.871347093661816e-05,2.7677886014723e-06,0.0,1.0,2.82256604295092e-07,8.21765149757266,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s161803-B,midpoint,4,4,initial,161803,B,best_one_step,4.3559406482677814e-07,4.871347093661816e-05,2.7677886014723e-06,0.0,1.0,2.82256604295092e-07,8.21765149757266,2000,2000,False
