epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.0022761169529985636,8.696439550703872e-07,0.0022769865609006956,,0.849132776260376,False
2,0.002203995842137374,1.2171470853417077e-07,0.002204117554356344,,0.858754575252533,False
3,0.0021670290880138054,2.1552274098723956e-07,0.002167244630982168,,0.8650417327880859,False
4,0.0021556434803642333,6.808502206467892e-07,0.0021563243644777685,,0.8670824766159058,False
5,0.0021498062269529328,1.1554595715779215e-06,0.002150961692677811,0.0025961282663047314,0.87457275390625,True
6,0.002148755913367495,1.3457469947297795e-06,0.0021501016744878143,,0.8745698928833008,False
7,0.002147712220903486,1.3698455916255625e-06,0.0021490820654435083,,0.8721953630447388,False
8,0.002145592574379407,1.3332668515886326e-06,0.00214692582085263,,0.8708962798118591,False
9,0.002147503648302518,1.3431346701509028e-06,0.0021488468046300113,,0.8724876046180725,False
10,0.0021450701024150476,1.596537188675029e-06,0.002146666607586667,0.002586803864687681,0.8697383403778076,True
11,0.002143362333299592,1.8047623200345697e-06,0.00214516710548196,,0.8728893399238586,False
12,0.0021441609133034945,1.7882050542539218e-06,0.0021459491254063323,,0.8715786933898926,False
13,0.0021429028129205108,2.045123636662538e-06,0.0021449478954309598,,0.8669387698173523,False
14,0.002140200842404738,2.328438540644129e-06,0.0021425293089123443,,0.8713359236717224,False
15,0.0021435233065858483,2.6088479927466324e-06,0.0021461321593960747,0.002578830812126398,0.8740687966346741,True
16,0.002138083116733469,2.959272791258627e-06,0.00214104242331814,,0.8721290230751038,False
17,0.002138237774488516,3.1682328369697643e-06,0.002141406017472036,,0.8728398680686951,False
18,0.0021366314904298633,3.3244202057858274e-06,0.002139955890015699,,0.8740187883377075,False
19,0.0021382633422035724,3.6197477015775803e-06,0.002141883087460883,,0.8714936971664429,False
20,0.0021332612523110583,3.6919211652275408e-06,0.002136953204171732,0.0025693734642118216,0.8730828166007996,True
21,0.0021374470234150067,3.918581171546975e-06,0.0021413655922515318,,0.867608368396759,False
22,0.0021361704275477678,4.240659848164796e-06,0.0021404110739240423,,0.8726447820663452,False
23,0.0021377290249802172,4.94653792770805e-06,0.002142675541108474,,0.8720623254776001,False
24,0.0021362203115131706,4.8027199568423384e-06,0.0021410229965113103,,0.8758257031440735,False
25,0.0021403212449513376,5.271021450425906e-06,0.0021455922833411023,0.002566342707723379,0.8670480251312256,True
26,0.00212818241561763,5.808051355415955e-06,0.0021339904196793213,,0.876765251159668,False
27,0.0021278899075696245,5.702779645844203e-06,0.0021335926867322996,,0.874881386756897,False
28,0.0021272055309964344,5.860489807218983e-06,0.0021330660092644393,,0.8714230060577393,False
29,0.0021231142163742334,6.746499934706662e-06,0.002129860731656663,,0.8731865286827087,False
30,0.0021230040001682937,7.595773695356911e-06,0.0021305997506715357,0.0025603848043829203,0.8745284676551819,True
31,0.0021268477430567145,7.568865555640514e-06,0.0021344166016206145,,0.8770822286605835,False
32,0.002121666067978367,7.2824739163479535e-06,0.002128948603058234,,0.8679786324501038,False
33,0.002116944859153591,7.793511940690223e-06,0.0021247383556328714,,0.8720518946647644,False
34,0.0021171556581975892,8.449208678484865e-06,0.002125604878528975,,0.8724122643470764,False
