candidate_dtype,dt,kind,reference_dt,reference_dtype,reference_resolution,relative_l2,resolution,sample
,0.005,temporal,0.0005,,,3.459064886711897e-11,512,0
,0.002,temporal,0.0005,,,2.1936668691334627e-12,512,0
,0.001,temporal,0.0005,,,2.4203382779464456e-13,512,0
,0.005,temporal,0.0005,,,2.4337336875348794e-11,512,1
,0.002,temporal,0.0005,,,1.5383061211058364e-12,512,1
,0.001,temporal,0.0005,,,1.7110250772351587e-13,512,1
,0.005,temporal,0.0005,,,4.1867272343735476e-12,512,2
,0.002,temporal,0.0005,,,2.646029221785422e-13,512,2
,0.001,temporal,0.0005,,,2.8261159026377764e-14,512,2
,0.005,temporal,0.0005,,,3.778770255526616e-12,512,3
,0.002,temporal,0.0005,,,2.390908753922874e-13,512,3
,0.001,temporal,0.0005,,,2.5660603691650532e-14,512,3
,0.005,temporal,0.0005,,,7.817405173973182e-12,512,4
,0.002,temporal,0.0005,,,4.96156418780927e-13,512,4
,0.001,temporal,0.0005,,,5.67314228199435e-14,512,4
,0.005,temporal,0.0005,,,8.360618264219554e-12,512,5
,0.002,temporal,0.0005,,,5.311375750500157e-13,512,5
,0.001,temporal,0.0005,,,6.000375282909434e-14,512,5
,0.005,temporal,0.0005,,,6.4978534179297216e-12,512,6
,0.002,temporal,0.0005,,,4.1245117307881774e-13,512,6
,0.001,temporal,0.0005,,,4.827184024885647e-14,512,6
,0.005,temporal,0.0005,,,5.066802155488968e-11,512,7
,0.002,temporal,0.0005,,,3.198007227326985e-12,512,7
,0.001,temporal,0.0005,,,3.558041085882863e-13,512,7
,0.005,temporal,0.0005,,,2.2039623464752692e-11,512,8
,0.002,temporal,0.0005,,,1.3912528145092316e-12,512,8
,0.001,temporal,0.0005,,,1.540895268233578e-13,512,8
,0.005,temporal,0.0005,,,1.0587136933347774e-11,512,9
,0.002,temporal,0.0005,,,6.693756570068541e-13,512,9
,0.001,temporal,0.0005,,,7.438794981058771e-14,512,9
,0.005,temporal,0.0005,,,2.4995675590379026e-11,512,10
,0.002,temporal,0.0005,,,1.5955816316463153e-12,512,10
,0.001,temporal,0.0005,,,1.7640090111367967e-13,512,10
,0.005,temporal,0.0005,,,1.2217744128549618e-11,512,11
,0.002,temporal,0.0005,,,7.73326725642435e-13,512,11
,0.001,temporal,0.0005,,,8.658414844755218e-14,512,11
,0.005,temporal,0.0005,,,3.1388769831262744e-11,512,12
,0.002,temporal,0.0005,,,1.965832358801748e-12,512,12
,0.001,temporal,0.0005,,,2.1596825490679782e-13,512,12
,0.005,temporal,0.0005,,,1.4717674758390887e-11,512,13
,0.002,temporal,0.0005,,,9.296434704072449e-13,512,13
,0.001,temporal,0.0005,,,1.0314802420485526e-13,512,13
,0.005,temporal,0.0005,,,4.3521751590030424e-11,512,14
,0.002,temporal,0.0005,,,2.772739887462285e-12,512,14
,0.001,temporal,0.0005,,,3.0553447456115566e-13,512,14
,0.005,temporal,0.0005,,,1.8886476333508276e-11,512,15
,0.002,temporal,0.0005,,,1.1938349399442668e-12,512,15
,0.001,temporal,0.0005,,,1.3365334409810317e-13,512,15
,0.005,temporal,0.0005,,,4.503754700915618e-12,512,16
,0.002,temporal,0.0005,,,2.859264465773026e-13,512,16
,0.001,temporal,0.0005,,,3.2599460207404814e-14,512,16
,0.005,temporal,0.0005,,,4.041194435553428e-12,512,17
,0.002,temporal,0.0005,,,2.5555607017347477e-13,512,17
,0.001,temporal,0.0005,,,2.7055816130710474e-14,512,17
,0.005,temporal,0.0005,,,2.1052142870505044e-11,512,18
,0.002,temporal,0.0005,,,1.329939797679928e-12,512,18
,0.001,temporal,0.0005,,,1.4789053639493168e-13,512,18
,0.005,temporal,0.0005,,,3.653944112631079e-11,512,19
,0.002,temporal,0.0005,,,2.3629139064165667e-12,512,19
,0.001,temporal,0.0005,,,2.5997325533336363e-13,512,19
,0.0005,spatial,,,512,0.00020347563251756683,64,0
,0.0005,spatial,,,512,4.6086197319783314e-05,128,0
,0.0005,spatial,,,512,9.290992203274598e-06,256,0
,0.0005,spatial,,,512,2.2525888708847344e-16,64,1
,0.0005,spatial,,,512,1.8145618058696615e-16,128,1
,0.0005,spatial,,,512,1.1327488976554213e-16,256,1
,0.0005,spatial,,,512,1.5574279382170162e-16,64,2
,0.0005,spatial,,,512,1.398743514407128e-16,128,2
,0.0005,spatial,,,512,1.0453018437670793e-16,256,2
,0.0005,spatial,,,512,1.7101793924958336e-16,64,3
,0.0005,spatial,,,512,1.2902516172087212e-16,128,3
,0.0005,spatial,,,512,1.2151583301325264e-16,256,3
,0.0005,spatial,,,512,2.022527852393106e-16,64,4
,0.0005,spatial,,,512,1.8084225128530225e-16,128,4
,0.0005,spatial,,,512,1.3748463337724259e-16,256,4
,0.0005,spatial,,,512,2.4584310354234893e-16,64,5
,0.0005,spatial,,,512,1.203234928060901e-16,128,5
,0.0005,spatial,,,512,1.7466159447244337e-16,256,5
,0.0005,spatial,,,512,1.9010711535120376e-16,64,6
,0.0005,spatial,,,512,1.8746973778986045e-16,128,6
,0.0005,spatial,,,512,1.3917532760086112e-16,256,6
,0.0005,spatial,,,512,0.00025181732974391906,64,7
,0.0005,spatial,,,512,7.417887085343119e-05,128,7
,0.0005,spatial,,,512,1.4972017313538219e-05,256,7
,0.0005,spatial,,,512,1.8926791418496276e-16,64,8
,0.0005,spatial,,,512,1.81712828237216e-16,128,8
,0.0005,spatial,,,512,1.3551736768130783e-16,256,8
,0.0005,spatial,,,512,2.28507868732e-16,64,9
,0.0005,spatial,,,512,1.5532019894993186e-16,128,9
,0.0005,spatial,,,512,1.2147456292078624e-16,256,9
,0.0005,spatial,,,512,0.00012220160235762518,64,10
,0.0005,spatial,,,512,1.4814629866739472e-05,128,10
,0.0005,spatial,,,512,9.94574862795588e-06,256,10
,0.0005,spatial,,,512,1.9143872909377152e-16,64,11
,0.0005,spatial,,,512,1.405796760339487e-16,128,11
,0.0005,spatial,,,512,1.3915146754768217e-16,256,11
,0.0005,spatial,,,512,0.00021080851393701934,64,12
,0.0005,spatial,,,512,4.5657799429188124e-05,128,12
,0.0005,spatial,,,512,1.835306848964898e-06,256,12
,0.0005,spatial,,,512,1.9157406322030146e-16,64,13
,0.0005,spatial,,,512,1.25745533995337e-16,128,13
,0.0005,spatial,,,512,1.2860434284082781e-16,256,13
,0.0005,spatial,,,512,0.00027670687808222584,64,14
,0.0005,spatial,,,512,6.332098972281236e-05,128,14
,0.0005,spatial,,,512,1.4012738162844376e-05,256,14
,0.0005,spatial,,,512,1.772159153871066e-16,64,15
,0.0005,spatial,,,512,1.4145655821630982e-16,128,15
,0.0005,spatial,,,512,1.6633049048517408e-16,256,15
,0.0005,spatial,,,512,1.870727744486004e-16,64,16
,0.0005,spatial,,,512,1.4751431102173764e-16,128,16
,0.0005,spatial,,,512,1.2906144316106313e-16,256,16
,0.0005,spatial,,,512,1.4638051776180945e-16,64,17
,0.0005,spatial,,,512,1.1070756998286365e-16,128,17
,0.0005,spatial,,,512,1.2018221783627448e-16,256,17
,0.0005,spatial,,,512,2.50378973035613e-16,64,18
,0.0005,spatial,,,512,1.6204521058804082e-16,128,18
,0.0005,spatial,,,512,1.4685547589122772e-16,256,18
,0.0005,spatial,,,512,0.00018028910126264948,64,19
,0.0005,spatial,,,512,3.3923647230758504e-05,128,19
,0.0005,spatial,,,512,1.1794979584831128e-05,256,19
float32,0.005,float32_vs_float64,,float64,,5.220692136982227e-07,64,0
float32,0.005,float32_vs_float64,,float64,,2.372049862589161e-07,64,1
float32,0.005,float32_vs_float64,,float64,,2.616650878192291e-07,64,2
float32,0.005,float32_vs_float64,,float64,,2.6481798039599165e-07,64,3
float32,0.005,float32_vs_float64,,float64,,4.3287492714177036e-07,64,4
float32,0.005,float32_vs_float64,,float64,,2.2672516582935217e-07,64,5
float32,0.005,float32_vs_float64,,float64,,4.906501337541358e-07,64,6
float32,0.005,float32_vs_float64,,float64,,7.810976622450429e-07,64,7
float32,0.005,float32_vs_float64,,float64,,3.1572780799134663e-07,64,8
