integrator,seed,a_defect_geometric_mean,b_defect_geometric_mean,a_over_b_defect,a_lower_defect,a_mse_geometric_mean,b_mse_geometric_mean,a_over_b_mse
euler,31415,6.877552847773238e-08,9.080189752502797e-05,0.0007574239124108127,True,0.000166579284846654,0.00017302548902395706,0.9627441932765726
euler,271828,6.915989644403456e-08,8.76402397101086e-05,0.0007891340401714753,True,0.00018738790481290333,0.0001867116356832381,1.0036219977785024
euler,161803,6.906510378814548e-08,9.676824371819091e-05,0.0007137166195686811,True,0.00021469229000773074,0.00021241161802574912,1.0107370397305913
rk2,31415,6.87161254760184e-08,9.079231174943452e-05,0.0007568496071083507,True,0.00016657098585753127,0.0001730370099985982,0.9626321320443567
rk2,271828,6.904857201546036e-08,8.762480525040942e-05,0.0007880025732226975,True,0.00018738766294850248,0.0001867101534992649,1.0036286695529937
rk2,161803,6.93507786476724e-08,9.675087641040639e-05,0.0007167974205576615,True,0.00021469661290959385,0.00021241091999158116,1.010760712858375
rk4,31415,6.87536017440568e-08,9.079292046862006e-05,0.0007572572992386504,True,0.00016657097254960758,0.00017303700349537978,0.9626320913148219
rk4,271828,6.920702878369527e-08,8.762533557695441e-05,0.0007898061482790694,True,0.0001873876603691546,0.0001867101446261946,1.0036287034339588
rk4,161803,6.90374698876525e-08,9.674944999544978e-05,0.0007135696367359132,True,0.00021469661466654607,0.0002124108863355422,1.0107608812826718
