seed,lag,horizon,composition_depth,a_defect,b_defect,a_over_b_defect,a_lower_defect,a_mse,b_mse,a_over_b_mse
31415,0.025,0.6,24,1.308592786353202e-07,2.9222506441328733e-05,0.004478030619928237,True,6.542370852002932e-05,6.507815145084805e-05,1.0053098783766508
31415,0.025,1.2,48,1.4508920381794965e-07,9.682710498282177e-05,0.0014984358340951135,True,0.0001370853857736165,0.00013837331042054757,0.9906923911625966
31415,0.025,2.4,96,1.4050836633083819e-07,0.00016880904775007366,0.000832350920780411,True,0.00024367358690824403,0.0002530564689493531,0.9629217854810622
31415,0.025,4.8,192,1.1107139574750846e-07,5.404542730502726e-05,0.002055148812509744,True,0.00013393654273841094,0.00014311975252212505,0.9358354830700641
31415,0.05,0.6,12,9.28522618237615e-08,2.7969375992142886e-05,0.003319783103128415,True,6.542371900053467e-05,6.507751127315942e-05,1.00531992881415
31415,0.05,1.2,24,9.840533826688258e-08,9.47915484061923e-05,0.0010381235449937454,True,0.00013708541730750312,0.0001383659275404625,0.9907454800779265
31415,0.05,2.4,48,9.649852383830648e-08,0.0001670613802389198,0.000577623168803591,True,0.00024367354959053955,0.0002530526163866398,0.9629362978734434
31415,0.05,4.8,96,8.439757567813011e-08,5.3763681421514775e-05,0.0015697878836912474,True,0.0001339361830900998,0.00014312452469766868,0.9358017668392051
31415,0.075,0.6,8,7.871581417240314e-08,2.6707183948815327e-05,0.0029473648110284875,True,6.542366990203163e-05,6.507687717061117e-05,1.0053289700812054
31415,0.075,1.2,16,8.260028727669066e-08,9.274218791688327e-05,0.0008906441516208147,True,0.00013708531456302353,0.00013835880869805806,0.9907957133556008
31415,0.075,2.4,32,8.032596313101159e-08,0.00016530205527942599,0.0004859344488804382,True,0.00024367343689846166,0.00025304918077040384,0.9629489261992554
31415,0.075,4.8,64,7.372838195518483e-08,5.34832043967981e-05,0.0013785333692458927,True,0.00013393634679914612,0.0001431300009073766,0.9357671064769996
31415,0.1,0.6,6,6.786138709302669e-08,2.543737871008034e-05,0.0026677822375673695,True,6.542369806084025e-05,6.507625253249216e-05,1.0053390524934516
31415,0.1,1.2,12,7.398161822047555e-08,9.06883888660559e-05,0.0008157782836978639,True,0.00013708544965140845,0.00013835155795050014,0.9908486155280978
31415,0.1,2.4,24,7.035994314952276e-08,0.00016352711315903434,0.00043026469305488136,True,0.00024367353594811902,0.00025304550820237637,0.9629632933584342
31415,0.1,4.8,48,6.691941287217951e-08,5.319822034266508e-05,0.0012579257809966623,True,0.00013393623683555234,0.00014313522424913572,0.9357321898796066
31415,0.15,0.6,4,5.931963797944917e-08,2.289453578185885e-05,0.0025909954473264667,True,6.542368105755259e-05,6.507499151098273e-05,1.005358272640128
31415,0.15,1.2,8,6.209322281347518e-08,8.65691300191429e-05,0.00071726749246232,True,0.0001370853959770102,0.00013833711132349436,0.9909517024426143
31415,0.15,2.4,16,6.220978604476457e-08,0.00015997366602960028,0.0003888751666993351,True,0.0002436735003357171,0.00025303855497327277,0.9629896138217164
31415,0.15,4.8,32,5.851193199402083e-08,5.2628407331667404e-05,0.0011117937053514671,True,0.000133936341626395,0.0001431460276251073,0.9356623012771822
31415,0.2,0.6,3,5.135724795435337e-08,2.0353806284845177e-05,0.002523225741447309,True,6.542369153095251e-05,6.50737392433598e-05,1.005377780525013
31415,0.2,1.2,6,5.527949709094315e-08,8.244947861157925e-05,0.0006704650899172535,True,0.0001370854458428994,0.0001383226961593209,0.991055334006818
31415,0.2,2.4,12,5.313510312299208e-08,0.00015641949664768617,0.0003396961648756084,True,0.00024367345412201757,0.00025303141364929616,0.9630166097074065
31415,0.2,4.8,24,5.3560468366020686e-08,5.206162654758373e-05,0.0010287897616311898,True,0.00013393624871582688,0.0001431566019789443,0.9355925389702001
