epoch,train_mse,validation_mse,seconds
1,0.0018288916908204556,0.0018010212855491166,0.022176072001457214
2,0.0016705450834706426,0.0016111744140895705,0.043708883225917816
3,0.0014871566090732813,0.0014398723530272643,0.06505924090743065
4,0.001321109477430582,0.0012758096806161727,0.08675060048699379
5,0.0011645702179521322,0.001105521999609967,0.10816222429275513
6,0.001005752244964242,0.0009421025994621838,0.1294771358370781
7,0.0008559641428291798,0.0007966701620413611,0.15063170716166496
8,0.000724515994079411,0.0006660274035918216,0.1717073693871498
9,0.0006072357064113021,0.0005467717322365692,0.1927846148610115
10,0.0005007424624636769,0.000446552263989967,0.21369220688939095
11,0.00041269668145105243,0.0003720365445284794,0.23448233306407928
12,0.0003502488252706826,0.0003185641265493662,0.2553877681493759
13,0.00031038152519613504,0.000280963366094511,0.27642885968089104
14,0.00028860161546617746,0.0002633521495833217,0.29734237492084503
15,0.0002875772479455918,0.0002675191578115725,0.3178326040506363
16,0.00030686944955959916,0.0002843733952128484,0.33841027319431305
17,0.0003356956294737756,0.00030471909364374977,0.35907159745693207
18,0.00036421383265405893,0.00032567386006121524,0.3797122798860073
19,0.0003896643756888807,0.00034182622281756875,0.4002000689506531
20,0.00040789443301036954,0.00034545491143944673,0.42094729095697403
21,0.00041267828783020377,0.000337518185309212,0.442145973443985
22,0.0004049509298056364,0.00032448618367197923,0.4630731977522373
23,0.00039022249984554946,0.0003094066111467934,0.4837508872151375
24,0.00037092785350978374,0.0002933352164594301,0.504341010004282
25,0.00034834438702091575,0.00027966874949925113,0.5249351225793362
26,0.0003266278363298625,0.00027096069970866665,0.5458737090229988
27,0.00030942505691200495,0.0002662737473049977,0.5666776560246944
28,0.00029693369287997484,0.000264407435679459,0.5875574611127377
29,0.000288488925434649,0.0002660699349992986,0.608394417911768
30,0.0002845857525244355,0.0002716649178182706,0.6290184557437897
31,0.0002851499884855002,0.00027975893196222995,0.6502113603055477
32,0.0002884549321606755,0.0002885583902146512,0.6708379909396172
33,0.0002927088353317231,0.0002971986517271337,0.691554069519043
34,0.0002972646907437593,0.00030493894882965833,0.7121617458760738
35,0.0003017438284587115,0.0003104688269862284,0.7330973893404007
36,0.00030521079315803945,0.000312826938170474,0.7539453133940697
37,0.0003068588557653129,0.00031229688102030195,0.7744461819529533
38,0.0003067823708988726,0.00030977837498843047,0.7949700839817524
39,0.000305479159578681,0.000305803565424867,0.8157798871397972
40,0.0003030966909136623,0.00030064945652460057,0.8366144970059395
41,0.0002996890980284661,0.000294886313592239,0.8574375994503498
42,0.00029579276451840997,0.00028910782202729024,0.8783367834985256
43,0.00029213447123765945,0.0002834085316862911,0.89893763884902
44,0.00028900959296151996,0.00027774160480475985,0.919597189873457
45,0.0002864467096515,0.0002725412535558765,0.9401681460440159
46,0.00028468912933021784,0.0002684318139169288,0.9609109200537205
47,0.00028397099231369793,0.00026558918762020767,0.9817749336361885
