epoch,train_mse,validation_mse,maximum_prediction_abs,selected_best_so_far
1,0.0016050957347033545,,0.8447897434234619,False
2,0.0015731044768472202,,0.8458470106124878,False
3,0.0015690334694227204,,0.8458784222602844,False
4,0.0015594846627209336,,0.8461065292358398,False
5,0.0015594034775858745,0.0020786949899047613,0.8462968468666077,True
6,0.0015601732593495399,,0.8460676670074463,False
7,0.0015547825823887251,,0.846072256565094,False
8,0.0015587069501634687,,0.846059262752533,False
9,0.001556818257085979,,0.8459650278091431,False
10,0.0015501282978220843,0.002072912873700261,0.846088171005249,True
11,0.001551702938741073,,0.8460001349449158,False
12,0.0015483487222809345,,0.8460546135902405,False
13,0.0015450209903065115,,0.845901608467102,False
14,0.0015476682019652799,,0.8457375168800354,False
15,0.0015426687605213374,0.0020550014451146126,0.8458905816078186,True
16,0.0015471747756237164,,0.8458341360092163,False
17,0.001538293727207929,,0.8462374210357666,False
18,0.0015420927375089377,,0.8462502956390381,False
19,0.0015439269045600668,,0.8460829257965088,False
20,0.001530798021121882,0.0020404739771038294,0.8456050157546997,True
21,0.0015302228348446079,,0.845798671245575,False
22,0.001530303925392218,,0.8459210395812988,False
23,0.001526457053842023,,0.845798134803772,False
24,0.0015227196417981759,,0.8459478616714478,False
25,0.0015225295937852934,0.002026135101914406,0.846255362033844,True
26,0.0015152760315686464,,0.8457536101341248,False
27,0.001511136615590658,,0.845587432384491,False
28,0.0015092083776835352,,0.8458905816078186,False
29,0.001504151790868491,,0.8461903929710388,False
30,0.0015070163790369406,0.0020053808111697435,0.8457561135292053,True
31,0.0014988935945439152,,0.8458126783370972,False
32,0.0014919684763299301,,0.845779538154602,False
33,0.0014862050375086255,,0.8461202383041382,False
34,0.0014842750315438025,,0.8461300730705261,False
35,0.0014760175545234233,0.0019670436158776283,0.8456968069076538,True
36,0.001469524489948526,,0.8458890318870544,False
37,0.0014643669710494578,,0.8460353016853333,False
38,0.0014595951797673479,,0.8456398844718933,False
39,0.0014488443412119523,,0.8461253643035889,False
40,0.0014443029576796107,0.0019229725003242493,0.8454295992851257,True
41,0.001444007401005365,,0.8457704186439514,False
42,0.001424190188117791,,0.846185564994812,False
43,0.0014164590829750523,,0.8464131951332092,False
44,0.001410754513926804,,0.8452221155166626,False
45,0.0013896315213060006,0.0018685180693864822,0.8458312153816223,True
46,0.0013862190389772877,,0.8460084199905396,False
47,0.0013884241197956726,,0.8456595540046692,False
48,0.0013589006703114137,,0.8454181551933289,False
49,0.0013437651286949404,,0.845441460609436,False
50,0.001329635182628408,0.0017786010866984725,0.8457563519477844,True
51,0.0013139841466909274,,0.8459228277206421,False
52,0.001295548543566838,,0.845253586769104,False
53,0.0012837216854677536,,0.845146119594574,False
54,0.0012638619882636704,,0.8452499508857727,False
55,0.001248505141120404,0.0016923377988860011,0.8448927402496338,True
56,0.0012379409818095155,,0.8457776308059692,False
57,0.001201758102979511,,0.8461489677429199,False
58,0.0011817863778560422,,0.8454261422157288,False
59,0.0011698332164087333,,0.844523549079895,False
60,0.001128857402363792,0.001504498184658587,0.8448858261108398,True
61,0.0011029875895474106,,0.8443419337272644,False
62,0.0010749690045486204,,0.8456754684448242,False
63,0.0010482577927177772,,0.8440190553665161,False
64,0.0010199066309724003,,0.8434346318244934,False
65,0.0009912383102346212,0.001314760884270072,0.8446540236473083,True
66,0.0009591238413122483,,0.8445257544517517,False
67,0.0009298466684413143,,0.8433561325073242,False
68,0.0009012938462547027,,0.8443499207496643,False
69,0.0008799272254691459,,0.8436025381088257,False
70,0.0008501205156790093,0.0011207101633772254,0.8435109257698059,True
71,0.0008129294874379411,,0.844213604927063,False
72,0.0007867363601690158,,0.8419573903083801,False
73,0.000756166446080897,,0.842253565788269,False
74,0.000717700291716028,,0.8419517278671265,False
75,0.0006976999502512626,0.0009054189431481063,0.8421719670295715,True
76,0.0006822131326771341,,0.8418572545051575,False
77,0.000671845944452798,,0.8415103554725647,False
78,0.0006361316700349562,,0.8407513499259949,False
79,0.0006090461647545453,,0.8408781886100769,False
80,0.0005959415575489402,0.0007747557829134166,0.8406051397323608,True
81,0.0005486840927915182,,0.8409410119056702,False
82,0.0005063332137069665,,0.8405613303184509,False
83,0.0004814469793927856,,0.8400339484214783,False
84,0.0004646536981454119,,0.8395688533782959,False
85,0.0004376172546471935,0.0005647874204441905,0.8385579586029053,True
86,0.0004151378234382719,,0.8378284573554993,False
87,0.0003866473489324562,,0.8391672968864441,False
88,0.000375346378859831,,0.8398736715316772,False
89,0.0003674064482765971,,0.8380208611488342,False
90,0.00034019564554910176,0.00044203983270563185,0.8383289575576782,True
91,0.0003222033628844656,,0.8361471891403198,False
92,0.00030374108064279426,,0.8365111947059631,False
93,0.00028803284658351913,,0.8375465273857117,False
94,0.0002733798755798489,,0.8380777835845947,False
95,0.0002519166318961652,0.0003483992477413267,0.8359570503234863,True
96,0.00024258008852484636,,0.8381423354148865,False
97,0.00023375882301479578,,0.8370558023452759,False
98,0.00022440378415922169,,0.8361846804618835,False
99,0.00021479781571542844,,0.8351844549179077,False
100,0.00019371463895367924,0.0002624350308906287,0.834911584854126,True
101,0.00018377221022092272,,0.8362775444984436,False
102,0.000168274826137349,,0.8340327143669128,False
103,0.00015967894614732359,,0.835824728012085,False
104,0.0001551366367493756,,0.8333097100257874,False
105,0.00014783840833842987,0.00019210981554351747,0.833276093006134,True
106,0.0001356938391836593,,0.8337315917015076,False
107,0.00012539246472442755,,0.8342586159706116,False
108,0.00012181718284409726,,0.8324182033538818,False
109,0.00010949926308967406,,0.8331227898597717,False
110,0.00010447909153299406,0.00013503992522601038,0.8337894678115845,True
111,9.73429578152718e-05,,0.8340880870819092,False
112,9.534260789223481e-05,,0.8327385187149048,False
113,9.273708292312222e-05,,0.8330783843994141,False
114,8.44728056108579e-05,,0.8342445492744446,False
115,7.721674546701252e-05,9.92043933365494e-05,0.8331209421157837,True
116,7.592434076286736e-05,,0.8337652683258057,False
117,7.587000254716258e-05,,0.8326578736305237,False
118,7.277833628904773e-05,,0.8315684199333191,False
119,7.449642271240009e-05,,0.833705484867096,False
120,7.534872338510468e-05,8.944440924096853e-05,0.8322608470916748,True
