epoch,train_mse,validation_mse,seconds
1,0.0029127895832061768,0.002767169828681896,0.0063927993178367615
2,0.0026963285636156797,0.002530144643969834,0.012752149254083633
3,0.002461101859807968,0.0022967147815506905,0.018932722508907318
4,0.0022301003336906433,0.00208081515544715,0.025090590119361877
5,0.0020151743665337563,0.001857168642648806,0.03125908225774765
6,0.001793090719729662,0.0016344413646341611,0.03741011023521423
7,0.0015718205831944942,0.001428860302742881,0.043579380959272385
8,0.001366619486361742,0.0012307877962787945,0.049862392246723175
9,0.0011700995964929461,0.001032755530710953,0.05612641200423241
10,0.0009763635462149978,0.0008488015907156902,0.06237678602337837
11,0.0007979231886565685,0.0006860902431071736,0.06857633218169212
12,0.0006403977749869227,0.0005359948554541916,0.074713084846735
13,0.0004951340379193425,0.0004032804257197616,0.08084544539451599
14,0.0003665550611913204,0.0002979995430602382,0.08700983598828316
15,0.000264911592239514,0.00021150375262853535,0.09311748296022415
16,0.0001842483616201207,0.00014085141083342023,0.09920241683721542
17,0.00012236725888215005,9.694136648856026e-05,0.10532153397798538
18,8.764029917074367e-05,7.558400860337618e-05,0.11139827966690063
19,7.393871055683121e-05,7.058651302334813e-05,0.11742105707526207
20,7.464599912054837e-05,8.513395459885942e-05,0.12322356179356575
21,9.35005082283169e-05,0.00010679353484495853,0.1290263645350933
22,0.00012085620255675167,0.00012782624495836595,0.1350005716085434
23,0.0001492337032686919,0.00015216398484578045,0.14086462184786797
24,0.00017950347682926804,0.00017194041417193753,0.14668384566903114
25,0.00020215629774611443,0.00018498801424963554,0.15251495316624641
26,0.00021532933169510216,0.00019172213008763114,0.15839467197656631
27,0.00022126291878521442,0.00018589740405635288,0.164207611232996
28,0.00021569868840742856,0.00017289359796753465,0.1700926311314106
29,0.00020286590734031051,0.0001572608198330272,0.17590049654245377
30,0.00018561049364507198,0.00013858384105939572,0.18183736503124237
31,0.0001634988293517381,0.00012113352355906197,0.18793844431638718
32,0.00014169557834975421,0.00010458952632082703,0.19388853758573532
33,0.00012138621241319925,8.875143521436257e-05,0.19985494762659073
34,0.00010278262197971344,7.762041423120536e-05,0.20575601607561111
35,8.887596050044522e-05,7.097929665178526e-05,0.2116861790418625
36,7.888199615990743e-05,6.81545367721507e-05,0.21792804449796677
37,7.230506889754906e-05,6.946040154313475e-05,0.22391260042786598
38,7.004110375419259e-05,7.247592596589432e-05,0.22990035265684128
39,7.039258343866095e-05,7.634482153662248e-05,0.2358701191842556
40,7.24679630366154e-05,8.171545293104525e-05,0.24182739853858948
