epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.0017082923295674846,1.4887199046853539e-06,0.0017097810341510922,,0.8530473113059998,False
2,0.0016561721567995846,4.706172944679565e-07,0.0016566427802899852,,0.8512876033782959,False
3,0.0016408500960096717,4.900099916937961e-07,0.0016413401172030717,,0.8615639805793762,False
4,0.0016370847151847556,7.47895974484436e-07,0.0016378326108679175,,0.8650197982788086,False
5,0.001634803309570998,8.569992715479202e-07,0.0016356603300664574,0.002144809812307358,0.8648278117179871,True
6,0.001633798805414699,1.065575503389482e-06,0.0016348643839592114,,0.8679518699645996,False
7,0.0016295985114993528,1.1169465423677138e-06,0.0016307154728565365,,0.8625704050064087,False
8,0.0016277959948638454,1.3277339263595422e-06,0.0016291237116092816,,0.8617014288902283,False
9,0.00162573330453597,1.5461211546607956e-06,0.0016272794600808993,,0.8636397123336792,False
10,0.0016304885066347197,2.0364345658663296e-06,0.0016325249744113535,0.0021174256689846516,0.8577924370765686,True
11,0.0016228993044933304,2.141685982337549e-06,0.0016250409971689805,,0.8637081980705261,False
12,0.0016200567988562398,2.535986126872558e-06,0.00162259278295096,,0.8624336123466492,False
13,0.0016185687709366903,3.0397916361835087e-06,0.0016216085641644895,,0.8614663481712341,False
14,0.0016181474056793377,3.572164274601164e-06,0.0016217195807257667,,0.8588172197341919,False
15,0.0016132717137224972,3.937588957114713e-06,0.001617209316464141,0.0021074246615171432,0.866001307964325,True
16,0.001615367829799652,4.7986600009153335e-06,0.0016201664839172736,,0.8593674898147583,False
17,0.0016051273123594,4.753373332277988e-06,0.0016098806954687461,,0.8624110817909241,False
18,0.0016057103348430246,5.3893251106273965e-06,0.001611099680303596,,0.8624430298805237,False
19,0.0016043138457462192,6.380395632277214e-06,0.0016106942348415032,,0.8576223850250244,False
20,0.0016012690466595814,6.814588090264806e-06,0.0016080835921457037,0.002087461296468973,0.8620272874832153,True
21,0.0015982909535523504,7.620132294050563e-06,0.0016059110930655152,,0.8638226985931396,False
22,0.0015946899075061083,8.44799939159202e-06,0.0016031379054766148,,0.8620082139968872,False
23,0.0015912317467154935,9.23516154216486e-06,0.0016004669159883633,,0.8630926012992859,False
24,0.0015897675039013848,1.0673651672732376e-05,0.0016004411445464939,,0.8581966757774353,False
25,0.001585816076840274,1.1015901009159279e-05,0.0015968319785315543,0.002068763831630349,0.8618180751800537,True
26,0.0015835787344258279,1.2100094409106532e-05,0.0015956788120092824,,0.8591411113739014,False
27,0.0015850295458221808,1.384431152473553e-05,0.0015988738305168226,,0.8576321005821228,False
28,0.0015804279537405819,1.4691651358589297e-05,0.0015951195819070563,,0.8629605174064636,False
29,0.0015747722063679248,1.63678741955664e-05,0.00159114008420147,,0.8578720688819885,False
30,0.001575981150381267,1.7402604498784058e-05,0.00159338372759521,0.0020667745266109705,0.8650108575820923,True
31,0.0015792017802596092,1.8799204553943127e-05,0.0015980010066414252,,0.8626930117607117,False
32,0.0015690367727074772,1.969976574400789e-05,0.0015887365516391583,,0.8557989597320557,False
33,0.0015696089685661718,2.0596031845343532e-05,0.001590204999956768,,0.8602889180183411,False
34,0.00156782241538167,2.314303469574952e-05,0.0015909654466668144,,0.8597642779350281,False
35,0.0015600075712427497,2.316810355296184e-05,0.0015831756609259173,0.002028206828981638,0.865180492401123,True
36,0.0015544086636509746,2.5062714485102333e-05,0.0015794713835930452,,0.857947051525116,False
37,0.0015550269890809432,2.5854293653537752e-05,0.0015808812968316488,,0.8597951531410217,False
38,0.0015515252016484737,2.925295279965212e-05,0.0015807781310286373,,0.8586986064910889,False
39,0.0015513364633079618,2.8749138891726034e-05,0.0015800856053829193,,0.8653286099433899,False
40,0.001552660614834167,3.291954590167734e-05,0.0015855801466386765,0.0020084225106984377,0.8521685004234314,True
41,0.0015531855460722,3.112053877885046e-05,0.001584306068252772,,0.8667354583740234,False
42,0.0015422800206579268,3.439740976318717e-05,0.0015766774158691987,,0.8542819619178772,False
43,0.0015349845780292526,3.473355923233612e-05,0.0015697181515861303,,0.8618505597114563,False
44,0.0015283589891623706,3.741109708244039e-05,0.0015657700860174373,,0.8552696108818054,False
45,0.0015259808496921323,3.881527527482831e-05,0.0015647961336071603,0.00199110503308475,0.8584049344062805,True
46,0.0015273322351276875,3.9521760072602774e-05,0.0015668539999751374,,0.8603121042251587,False
47,0.0015251433505909517,4.153684812990832e-05,0.001566680206451565,,0.8539280295372009,False
48,0.0015189852711046115,4.43070603068918e-05,0.001563292316859588,,0.8594585061073303,False
49,0.0015152490668697283,4.56094162473164e-05,0.001560858465381898,,0.8563012480735779,False
50,0.0015122329205041751,4.642161638912512e-05,0.001558654519612901,0.0019671516492962837,0.8576655387878418,True
51,0.0015134982531890273,5.085533211968141e-05,0.0015643535880371928,,0.8621723055839539,False
