epoch,train_mse,validation_mse,maximum_prediction_abs,selected_best_so_far
1,0.0015959873853717,,0.8577456474304199,False
2,0.0015554070268990472,,0.8460016250610352,False
3,0.0015626771346433088,,0.8458644151687622,False
4,0.0015498597495025024,,0.8447314500808716,False
5,0.0015406574093503878,0.0020505774300545454,0.8455398082733154,True
6,0.0015363106940640137,,0.8461602926254272,False
7,0.0015321591854444705,,0.8458147644996643,False
8,0.0015258057828759775,,0.8453596830368042,False
9,0.0015228175470838323,,0.8460054993629456,False
10,0.0015158998139668256,0.0020166717004030943,0.8457187414169312,True
11,0.0015060271980473772,,0.845883309841156,False
12,0.0015006644243840128,,0.8460508584976196,False
13,0.0014971547643654048,,0.8452979922294617,False
14,0.001483315834775567,,0.8457834124565125,False
15,0.001484939428337384,0.0019602670799940825,0.8453294038772583,True
16,0.0014718551174155436,,0.8458796739578247,False
17,0.0014552963693859056,,0.8455154299736023,False
18,0.0014521369739668444,,0.8453421592712402,False
19,0.0014319225156214088,,0.8452600240707397,False
20,0.001419807580532506,0.00188605731818825,0.8458638191223145,True
21,0.0014065653667785227,,0.844999372959137,False
22,0.0013904641746194102,,0.8446365594863892,False
23,0.0013734448948525824,,0.844963550567627,False
24,0.0013571937233791687,,0.8464987874031067,False
25,0.001334694075922016,0.0017521015834063292,0.8461806178092957,True
26,0.001320829636824783,,0.8435993790626526,False
27,0.0013004563370486721,,0.8456773161888123,False
28,0.001272473411518149,,0.8462731242179871,False
29,0.0012483101672842167,,0.8445282578468323,False
30,0.0012225792743265629,0.0016193764749914408,0.8446548581123352,True
31,0.0012057212661602534,,0.8451603651046753,False
32,0.0011698952439473942,,0.8444389700889587,False
33,0.0011458800872787833,,0.8462634682655334,False
34,0.0011135253589600325,,0.8429499864578247,False
35,0.0010670218180166557,0.0014195467811077833,0.8445906043052673,True
36,0.0010376704376540147,,0.8483477830886841,False
37,0.0010030941193690524,,0.8435376882553101,False
38,0.0009690496954135597,,0.8468081951141357,False
39,0.0009282808314310387,,0.8450592160224915,False
40,0.0008917922314140014,0.0011598062701523304,0.8429228067398071,True
41,0.0008555528111173771,,0.8446095585823059,False
42,0.0008179238284355961,,0.8439642190933228,False
43,0.0007909290798124857,,0.8529394865036011,False
44,0.0007892691864981316,,0.8415452837944031,False
45,0.0007324101206904743,0.0009035216644406319,0.8564683794975281,True
46,0.0006809337319282349,,0.8414687514305115,False
47,0.0006554871251864824,,0.8471145629882812,False
48,0.0006132834096206352,,0.842156171798706,False
49,0.0005802698105981108,,0.8518264293670654,False
50,0.00056120280714822,0.0007362393662333488,0.8652552962303162,True
51,0.000532165176991839,,0.8506701588630676,False
52,0.0004994015325792134,,0.8498141169548035,False
53,0.0004647622408811003,,0.8444535732269287,False
54,0.00044231363790459,,0.8429028391838074,False
55,0.00041133126433123834,0.0005077780224382877,0.8509746193885803,True
56,0.00037889654049649835,,0.8474428653717041,False
57,0.0003608356710174121,,0.8469471335411072,False
58,0.0003462238546489971,,0.850708544254303,False
59,0.0003235245676478371,,0.8586449027061462,False
60,0.0002975395091198152,0.00036313236341811717,0.8637315630912781,True
61,0.0002742453580140136,,0.8591874241828918,False
62,0.0002738843140832614,,0.8660435676574707,False
63,0.0002574955578893423,,0.8567700982093811,False
64,0.00023065536333888303,,0.8500122427940369,False
65,0.00021319642473827116,0.00026109773898497224,0.8497666120529175,True
66,0.00019534181137714768,,0.8467026948928833,False
