epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.0022445395588874817,8.617527456067364e-07,0.0022445395588874817,,0.8506488800048828,False
2,0.0021760177478427067,1.871220345339708e-07,0.0021760177478427067,,0.871941864490509,False
3,0.0021532789251068607,1.2193114216074719e-06,0.0021532789251068607,,0.874945878982544,False
4,0.002152730812667869,1.9774610962031147e-06,0.002152730812667869,,0.8788641691207886,False
5,0.002147836552467197,2.0535100588858768e-06,0.002147836552467197,0.002595667028799653,0.878704845905304,True
6,0.0021465594036271796,1.873801053875468e-06,0.0021465594036271796,,0.8743578195571899,False
7,0.0021455970272654667,1.8591473605056308e-06,0.0021455970272654667,,0.8713338375091553,False
8,0.0021431398345157504,2.1494475817007697e-06,0.0021431398345157504,,0.869780421257019,False
9,0.0021441894059535116,2.648769964253006e-06,0.0021441894059535116,,0.8735572099685669,False
10,0.0021413860376924276,3.596258665083951e-06,0.0021413860376924276,0.0025878939777612686,0.873889684677124,True
11,0.002139028496458195,4.158905994700035e-06,0.002139028496458195,,0.8757157325744629,False
12,0.002139897522283718,4.03605037035959e-06,0.002139897522283718,,0.872280478477478,False
13,0.0021369876922108233,4.79115502116656e-06,0.0021369876922108233,,0.8689123392105103,False
14,0.0021339575323509052,5.835214835769875e-06,0.0021339575323509052,,0.8737838864326477,False
15,0.002135741160600446,6.790334907691431e-06,0.002135741160600446,0.002571897115558386,0.8766233921051025,True
16,0.0021306639828253537,7.819703739642136e-06,0.0021306639828253537,,0.8742648363113403,False
17,0.0021291751909302548,8.560178514471772e-06,0.0021291751909302548,,0.8741818070411682,False
18,0.0021270284050842747,9.43525861885064e-06,0.0021270284050842747,,0.8752376437187195,False
19,0.0021267034899210557,1.0814029906214273e-05,0.0021267034899210557,,0.8724775910377502,False
20,0.0021216140885371715,1.1640194600204268e-05,0.0021216140885371715,0.002554049016907811,0.8740822672843933,True
21,0.0021236842876533046,1.2957280205228017e-05,0.0021236842876533046,,0.869597852230072,False
22,0.0021206929959589615,1.4930709198779368e-05,0.0021206929959589615,,0.8753266334533691,False
23,0.00212069257395342,1.7767499343790405e-05,0.00212069257395342,,0.8749461770057678,False
24,0.0021193865104578435,1.7783638895707554e-05,0.0021193865104578435,,0.8750590682029724,False
25,0.0021189356193644926,2.075945496926579e-05,0.0021189356193644926,0.0025438957381993532,0.8689945936203003,True
26,0.0021082144521642476,2.4332570319529623e-05,0.0021082144521642476,,0.8794692754745483,False
27,0.002107455744408071,2.4874465680113644e-05,0.002107455744408071,,0.8767034411430359,False
28,0.0021023951121605933,2.7350644131729496e-05,0.0021023951121605933,,0.8728620409965515,False
29,0.002096983909723349,3.317640448585735e-05,0.002096983909723349,,0.8753364682197571,False
30,0.002095366653520614,3.801065940933768e-05,0.002095366653520614,0.002523827599361539,0.8778192400932312,True
31,0.002095524250762537,3.914786339009879e-05,0.002095524250762537,,0.8784773349761963,False
32,0.002088303561322391,4.1553962546458934e-05,0.002088303561322391,,0.8650816679000854,False
33,0.0020806750253541395,4.989650506104226e-05,0.0020806750253541395,,0.875433623790741,False
34,0.0020772312418557703,5.607956472886144e-05,0.0020772312418557703,,0.874621570110321,False
35,0.0020750267867697403,6.01127244408417e-05,0.0020750267867697403,0.0024789150338619947,0.8690264225006104,True
36,0.0020656643609981984,6.874527343825321e-05,0.0020656643609981984,,0.8760290145874023,False
37,0.0020629070786526427,7.823875557733118e-05,0.0020629070786526427,,0.8764894604682922,False
38,0.0020583799487212673,8.374304297831259e-05,0.0020583799487212673,,0.872187614440918,False
39,0.0020511714392341673,9.615055205358658e-05,0.0020511714392341673,,0.8677518963813782,False
40,0.00204455922357738,0.00011176550742675317,0.00204455922357738,0.0024582133628427982,0.8730224967002869,True
41,0.002045051282038912,0.0001170717378045083,0.002045051282038912,,0.8715692758560181,False
42,0.0020312321285018697,0.00013110355894241366,0.0020312321285018697,,0.8649877905845642,False
43,0.0020196574478177354,0.00015681989316362888,0.0020196574478177354,,0.8825624585151672,False
44,0.0020032012835144997,0.00015988516315701418,0.0020032012835144997,,0.8613870143890381,False
45,0.0019908065150957555,0.00017886050591187086,0.0019908065150957555,0.0023793820291757584,0.8642146587371826,True
46,0.0019790420483332127,0.00020618984490283765,0.0019790420483332127,,0.8688911199569702,False
47,0.0019750672654481605,0.00022296370480034966,0.0019750672654481605,,0.8628758788108826,False
48,0.0019503621733747423,0.000252412277404801,0.0019503621733747423,,0.8642070293426514,False
49,0.001939586436492391,0.0002853164478437975,0.001939586436492391,,0.861867368221283,False
50,0.0019306292524561286,0.0003015112961293198,0.0019306292524561286,0.00230096816085279,0.852001428604126,True
