epoch,train_mse,validation_mse,maximum_prediction_abs,selected_best_so_far
1,0.001597569600562565,,0.8578259348869324,False
2,0.0015554171841358766,,0.8461049199104309,False
3,0.0015620818885508925,,0.8458926677703857,False
4,0.0015506958588957787,,0.8447555303573608,False
5,0.0015408897306770086,0.002051025629043579,0.8455943465232849,True
6,0.0015366634324891493,,0.8461236953735352,False
7,0.0015328158624470234,,0.845845103263855,False
8,0.0015264787507476285,,0.8453885912895203,False
9,0.0015233791345963255,,0.8460047841072083,False
10,0.001516879114205949,0.0020176905672997236,0.8457444906234741,True
11,0.0015072548703756183,,0.8459166288375854,False
12,0.0015017434634501114,,0.8460248708724976,False
13,0.0014987442846177146,,0.8453599214553833,False
14,0.0014856745983706787,,0.8457617163658142,False
15,0.0014873900800012052,0.001964103663340211,0.8453577756881714,True
16,0.0014755108277313411,,0.8459340929985046,False
17,0.0014602219744119793,,0.8454396724700928,False
18,0.0014575584937119856,,0.8453990817070007,False
19,0.001438289473298937,,0.845228910446167,False
20,0.0014271502441260964,0.0018952529644593596,0.8458786010742188,True
21,0.0014156638644635677,,0.8449968099594116,False
22,0.001401276829710696,,0.8446096181869507,False
23,0.0013860756662325002,,0.844904363155365,False
24,0.0013726446632063016,,0.8463990688323975,False
25,0.0013529834686778486,0.0017759850015863776,0.846153736114502,True
26,0.001341733463050332,,0.8436622023582458,False
27,0.0013247952883830294,,0.8455289602279663,False
28,0.0013003093117731623,,0.8462234139442444,False
29,0.001280266951653175,,0.8445661664009094,False
30,0.0012587881938088685,0.0016644272254779935,0.8445625305175781,True
31,0.001247038679139223,,0.8452085256576538,False
32,0.0012178823744761758,,0.8443717956542969,False
33,0.0011984142547589727,,0.8448826670646667,False
34,0.001171957454062067,,0.843264639377594,False
35,0.00113409726327518,0.0014969226904213428,0.8443155288696289,True
36,0.0011108167163911276,,0.8482697010040283,False
37,0.001083421208022628,,0.8434368371963501,False
38,0.0010573342224233784,,0.8445839881896973,False
39,0.0010249041297356598,,0.8448107838630676,False
40,0.0009975127031793818,0.0012871675426140428,0.842772901058197,True
41,0.0009686526900622994,,0.8443523049354553,False
42,0.0009400927519891411,,0.8441701531410217,False
43,0.0009264086256735027,,0.8509001731872559,False
44,0.000923117419006303,,0.842120349407196,False
45,0.0008732689457247034,0.0010861193295568228,0.8497936725616455,True
46,0.0008387703419430181,,0.8413706421852112,False
47,0.0008186345876310952,,0.8505051136016846,False
48,0.0007821022372809239,,0.8412346243858337,False
49,0.0007561873353552073,,0.8441702723503113,False
50,0.0007378613590844907,0.0009426710894331336,0.8481870293617249,True
51,0.0007205685433291364,,0.8521278500556946,False
52,0.0006861330875835847,,0.8474057912826538,False
53,0.0006597084138775244,,0.8401476144790649,False
54,0.000647871223918628,,0.8432934880256653,False
55,0.0006147240128484555,0.0007471601711586118,0.8470370769500732,True
56,0.0005863934457011055,,0.8397631049156189,False
57,0.0005706922602257691,,0.8451961278915405,False
58,0.0005544906125578564,,0.8456503748893738,False
59,0.0005297178431646898,,0.8474377989768982,False
60,0.0005122223046782892,0.0006191211869008839,0.8549146056175232,True
61,0.0004933686032018159,,0.8506104946136475,False
62,0.0004918649210594594,,0.8609223961830139,False
63,0.00047008085675770417,,0.8549864888191223,False
64,0.0004508307501964737,,0.8491121530532837,False
65,0.0004331767122494057,0.0005181985325179994,0.8389223217964172,True
66,0.0004222571042191703,,0.8481624126434326,False
67,0.0004092240269528702,,0.8657986521720886,False
68,0.00039388391815009527,,0.8656423687934875,False
69,0.00039329165156232193,,0.8459883332252502,False
70,0.00037215010161162354,0.0004294343525543809,0.8441331386566162,True
71,0.00037438217623275705,,0.8526036143302917,False
72,0.0003508274312480353,,0.8452333807945251,False
73,0.0003414880447962787,,0.8460572361946106,False
74,0.000334146578097716,,0.861388087272644,False
75,0.00032911484959186055,0.0003649109567049891,0.8435086607933044,True
76,0.00032034606010711286,,0.8543562293052673,False
77,0.0003102549526374787,,0.8676679730415344,False
78,0.00031945489354257006,,0.8491407632827759,False
79,0.00031625090014131274,,0.8467860221862793,False
80,0.00029902864844189025,0.0003263882827013731,0.8603425621986389,True
81,0.00028695716719084885,,0.8584119081497192,False
82,0.0002903733857237967,,0.8713723421096802,False
83,0.0002887061709770933,,0.8585877418518066,False
84,0.00027438485085440334,,0.8587320446968079,False
85,0.00026852810697164387,0.00028307168395258486,0.8684163093566895,True
86,0.0002555642586230533,,0.8581977486610413,False
87,0.00025148590066237375,,0.8566092252731323,False
88,0.0002586100708867889,,0.8586307764053345,False
89,0.00025826542696449906,,0.8596615791320801,False
90,0.0002471053594490513,0.0002537519030738622,0.846733808517456,True
91,0.00024085629956971388,,0.8535330295562744,False
92,0.00023736877665214706,,0.8558234572410583,False
93,0.00023396986580337398,,0.8524165749549866,False
94,0.0002387588974670507,,0.8599363565444946,False
95,0.00023610395874129608,0.0002418605436105281,0.8615044951438904,True
96,0.00023520435388491023,,0.8546990156173706,False
97,0.00022770622672396712,,0.8556619882583618,False
98,0.00022266025371209253,,0.8632798790931702,False
99,0.00021965358610032126,,0.8559321165084839,False
100,0.000219528898014687,0.00023006356786936522,0.8512018918991089,True
101,0.00022014871501596645,,0.8445667028427124,False
102,0.00022922873176867142,,0.8564398288726807,False
103,0.00021746640959463548,,0.8449478149414062,False
104,0.00021625529188895598,,0.8555769324302673,False
105,0.00021586658112937585,0.00021797750378027558,0.8621116280555725,True
106,0.00021178258430154528,,0.841931164264679,False
107,0.0002171636515413411,,0.8578314185142517,False
108,0.00022395426640287042,,0.8775818347930908,False
109,0.00021832823404110968,,0.8640838265419006,False
110,0.00021776012908958364,0.00022551833535544574,0.8598641753196716,False
111,0.000216037182326545,,0.8502735495567322,False
112,0.0002170445332012605,,0.8575822710990906,False
113,0.0002165990063076606,,0.8466054797172546,False
114,0.00021980361998430453,,0.8499490022659302,False
115,0.00021611067313642707,0.00020631274674087763,0.8517481684684753,True
116,0.00020478375790844439,,0.8562836050987244,False
117,0.00021112741069373442,,0.8568776845932007,False
118,0.00021511147315322887,,0.8360962867736816,False
119,0.00021711490808229428,,0.8470843434333801,False
120,0.00020741984553751536,0.00020267421496100724,0.8607403635978699,True
121,0.0002048232636298053,,0.8545179963111877,False
122,0.00020482366198848467,,0.8543437123298645,False
123,0.00020259384109522216,,0.8650686740875244,False
124,0.00020639093054342084,,0.8572129607200623,False
125,0.00020191530893498566,0.00020047764701303095,0.8609651923179626,True
126,0.0002034656899922993,,0.8633586168289185,False
127,0.00020377190776343923,,0.8519024848937988,False
128,0.00020459279585338663,,0.8666018843650818,False
129,0.00020513744311756454,,0.8674948811531067,False
130,0.00020499069432844408,0.00020883727120235562,0.8555280566215515,False
131,0.00020460378073039465,,0.8510058522224426,False
132,0.00020522798695310485,,0.8513944745063782,False
133,0.00020174457858956885,,0.8616536855697632,False
134,0.0002024255045398604,,0.8535723090171814,False
135,0.00019692428031703457,0.00019728303595911711,0.8489649295806885,True
136,0.00019657933444250375,,0.8486963510513306,False
137,0.00019929145128116943,,0.8448460698127747,False
138,0.0002111854173563188,,0.8666772246360779,False
139,0.00020781975217687432,,0.865727961063385,False
140,0.00020546062842186075,0.0001989019219763577,0.8620449900627136,False
141,0.00019989201064163353,,0.8496316075325012,False
142,0.00019934946612920612,,0.8539703488349915,False
143,0.00020267477884772234,,0.8594816327095032,False
144,0.00020294077330618165,,0.8408356308937073,False
145,0.0002014967230934417,0.00020956844673492014,0.8479453325271606,False
146,0.00020176105863356497,,0.8516783118247986,False
147,0.0001960795088962186,,0.8455917239189148,False
148,0.0001959487381100189,,0.8576768636703491,False
149,0.00019570080075936858,,0.8467936515808105,False
150,0.00020045821293024346,0.00021638741600327194,0.8638476729393005,False
