seed,hard_auto_primary_defect,hard_query_primary_defect,hard_auto_over_query_defect,hard_auto_lower_defect,hard_auto_long_mse,hard_query_long_mse,hard_auto_over_query_long_mse,hard_auto_lower_long_mse,hard_stress_endpoint,unconstrained_stress_endpoint,hard_lower_stress_endpoint
31415,9.999999999999965e-17,0.01641855925338588,6.090668398896046e-15,True,3.4032373172730925e-05,0.00031638275707588314,0.10756709211105457,True,0.0,0.16407239437103271,True
271828,9.999999999999965e-17,0.01837229002599182,5.4429796099738635e-15,True,2.516346279319808e-05,0.00010282056249951357,0.2447318141574758,True,0.0,0.16540366411209106,True
161803,9.999999999999965e-17,0.03588098498295216,2.78699149556546e-15,True,7.753768019341651e-06,0.00022452562433540143,0.034534000483432116,True,0.0,0.16725923120975494,True
