update,loss,validation_mse,training_seconds
1,0.005399180110543966,0.15515474124696332,1.5313706118613482
100,0.0009243516833521426,0.014355360778248043,3.2742591351270676
200,0.0009235154138877988,0.014918791587947023,5.035423573106527
300,0.0009233307791873813,0.014898345577442696,6.803337126970291
400,0.0009231449221260846,0.01483696737054333,8.380828516557813
500,0.0009229536517523229,0.014857003851182621,10.14414563216269
600,0.0009227586560882628,0.014709248776849817,11.901464261114597
700,0.0009225369431078434,0.014811433692140835,13.784465534612536
800,0.0009224027744494379,0.015373637465184874,15.236681334674358
900,0.0009220281499437988,0.014755651631181477,16.991960410028696
1000,0.0009217177866958082,0.01472430911375356,18.89432896487415
1100,0.0009213549783453345,0.014729376863215893,20.342005126178265
1200,0.0009209187119267881,0.014643043825970257,22.187374137341976
1300,0.0009203886729665101,0.014590363752918698,24.015372728928924
1400,0.0009197283652611077,0.014541188467538062,25.46376216597855
1500,0.0009188822587020695,0.014443498714699838,27.38046888820827
1600,0.0009177597239613533,0.01433710621610328,28.833126813173294
1700,0.0009161982452496886,0.014242131471971533,30.30454395711422
1800,0.0009138857130892575,0.013979534271055583,31.973991388455033
1900,0.0009101972682401538,0.01365247924672973,33.72985125146806
2000,0.0009039922151714563,0.013120944563960062,35.48656062223017
