boundary_family,seed,enforcement_mode,temporal_mode,parameter_count,selected_epoch,best_validation_mse,uniform_primary_defect_geometric_mean,primary_nonuniform_defect_geometric_mean,long_rollout_mse_geometric_mean,maximum_hard_boundary_evidence,boundary_stress_final_state_max,hard_boundary_pass,data_cache_sha256,checkpoint_sha256,run_dir
homogeneous_neumann,161803,unconstrained,autonomous,1249,150,0.0009900073055177927,9.999999999999965e-17,2.641105156480555e-07,0.005699972342015252,20.259689331054688,0.20254641771316528,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,67ce2927d31e8fbde57aab27bc4f5b7a76d49a766ae0a23fa4d07a5f78c8c7d8,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-homogeneous_neumann-unconstrained-autonomous
homogeneous_neumann,161803,unconstrained,query_time,1249,150,0.0011263869237154722,0.02213803282890138,0.0129275128474857,0.00603218327659229,13.443628311157227,0.20772665739059448,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,65655acee4bcc448568101cdafe73a9d770fe26b52042db7fac636a666c59bdd,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-homogeneous_neumann-unconstrained-query_time
homogeneous_neumann,271828,hard,autonomous,1249,150,1.150102093561145e-06,9.999999999999965e-17,3.1671573141565894e-07,7.2615724966810605e-06,0.0,0.0,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,b52ff4d4c7ce8e282ecf25c079d40528a53a86ec83456c845bf6c5f05880cba1,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-hard-autonomous
homogeneous_neumann,271828,hard,query_time,1249,150,3.1005620257928967e-06,0.01352727167766656,0.006122996720778022,7.309028625913919e-05,0.0,0.0,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,a4cfe9212cb0b90127cffb1b3b3f15ea47f90d6b5d403900216fedd29e2bf959,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-hard-query_time
homogeneous_neumann,271828,penalty,autonomous,1249,130,0.0022589692380279303,9.999999999999965e-17,1.4695973803256465e-07,0.01287497296886859,8.88936996459961,0.2777928113937378,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,07a8b79d0bb852a63cc9a2ca4d41287e0c7f6269899819a74b4ce455d9e66d5a,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-penalty-autonomous
homogeneous_neumann,271828,penalty,query_time,1249,130,0.002291859360411763,0.019946676069003702,0.021573459166826944,0.014065986646194345,8.387207984924316,0.2621002495288849,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,c63b955995e3f4bc355dc972faa3a988adc9c4dc4ad932a8358ca0bf6677e351,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-penalty-query_time
homogeneous_neumann,271828,unconstrained,autonomous,1249,135,0.0009399614646099508,9.999999999999965e-17,2.5187882926269175e-07,0.005402564088802654,27.219497680664062,0.20009198784828186,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,95995f4503b4d7c0bf97127c81147b4af303d8635d637c9c1922f81f45cbb362,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-unconstrained-autonomous
homogeneous_neumann,271828,unconstrained,query_time,1249,145,0.000982098514214158,0.01645893494297636,0.017927379060014414,0.005589210255400818,15.836908340454102,0.19851884245872498,True,3a23822703a28a39887bfdec2abdad94698865d869e68ef94eab0fc82a9b50fb,bb75c73a0a08edb4f71ddd1b7ff667ff24e512d94ef49a651eabc462e0226097,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-homogeneous_neumann-unconstrained-query_time
inhomogeneous_dirichlet,31415,hard,autonomous,1249,150,2.3860980036261026e-06,9.999999999999965e-17,4.606538376188529e-07,1.4530039807673249e-05,0.0,0.0,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,30e38ad615e5cb16b8fdb1e6379c795efd0bb75035ea3231ad5b6b9012775c4d,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-hard-autonomous
inhomogeneous_dirichlet,31415,hard,query_time,1249,150,7.1615513661527075e-06,0.01564501779225566,0.007826416282730378,0.00012934731462177767,0.0,0.0,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,44b17f400dbe87239cbc252d0c0ab28a424fcfa446eae3c50f1e43ee1727ae18,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-hard-query_time
