boundary_family,seed,hard_auto_nonuniform_defect,hard_query_nonuniform_defect,hard_auto_over_query_defect,hard_auto_lower_defect,hard_auto_long_mse,hard_query_long_mse,hard_auto_over_query_long_mse,hard_auto_lower_long_mse,hard_auto_stress_residual,penalty_auto_stress_residual,unconstrained_auto_stress_residual
inhomogeneous_dirichlet,31415,4.606538376188529e-07,0.007826416282730378,5.885884688185101e-05,True,1.4530039807673249e-05,0.00012934731462177767,0.11233352505353743,True,0.0,0.2531399130821228,0.2907148599624634
inhomogeneous_dirichlet,271828,4.6275144236545345e-07,0.006336108202230821,7.303401829573044e-05,True,1.7081342259929573e-05,6.588043987399659e-05,0.2592779024031939,True,0.0,0.25744760036468506,0.29236406087875366
inhomogeneous_dirichlet,161803,4.645888520758538e-07,0.011824072811991505,3.9291778684302945e-05,True,8.842592588121498e-06,0.00019402978234633907,0.04557337786596934,True,0.0,0.2557123303413391,0.27833637595176697
homogeneous_neumann,31415,3.1721721490148725e-07,0.00646698740541152,4.9051775581941384e-05,True,1.1937969449030494e-05,7.02265414494875e-05,0.16999227361377647,True,0.0,0.2878895103931427,0.20222489535808563
homogeneous_neumann,271828,3.1671573141565894e-07,0.006122996720778022,5.172560853101605e-05,True,7.2615724966810605e-06,7.309028625913919e-05,0.09935071906731074,True,0.0,0.2777928113937378,0.20009198784828186
homogeneous_neumann,161803,3.0902615393953967e-07,0.012662374518298743,2.4405071378433604e-05,True,3.466580849003948e-05,0.00030004989517247574,0.11553347975713425,True,0.0,0.27575773000717163,0.20254641771316528
robin,31415,2.850980805525994e-07,0.006604420901228175,4.31677636565504e-05,True,1.5218575027690041e-05,0.00011480489378742484,0.13256033367243975,True,0.0,0.18767932057380676,0.10876573622226715
robin,271828,2.815440093705288e-07,0.007186827163234398,3.917500768779045e-05,True,5.061204625338349e-06,8.757198314981165e-05,0.0577947928469316,True,0.0,0.1893092691898346,0.10715596377849579
robin,161803,2.7438000141336193e-07,0.015057904845701473,1.822165860555881e-05,True,3.985257009589155e-05,0.0004391945421604787,0.09074013055774655,True,0.0,0.19458886981010437,0.10876472294330597
