root,cell,scheme,budget,length,mode,seed,model,checkpoint,primary_mse,generator_grid_mse,generator_reference_mse,bound_violation,energy_monotone,stress_mse,training_seconds,epochs,selected_epoch,privileged
wave1-euler,euler-b4-L4-detached-s161803-A,euler,4,4,detached,161803,A,final,0.004653887939821818,0.020804183557629582,0.02291402965784073,0.0,0.88671875,0.006306352454318333,6.76490094140172,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-A,euler,4,4,detached,161803,A,best_one_step,0.004653887939821818,0.020804183557629582,0.02291402965784073,0.0,0.88671875,0.006306352454318333,6.76490094140172,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-A,euler,4,4,detached,161803,A,best_rollout,0.004653887939821818,0.020804183557629582,0.02291402965784073,0.0,0.88671875,0.006306352454318333,6.76490094140172,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-A,euler,4,4,detached,161803,A,epoch120,0.006191998945551201,0.027519579976797104,0.029455868527293202,0.0,0.86328125,0.008531725606684823,6.76490094140172,400,120,False
wave1-euler,euler-b4-L4-detached-s161803-B,euler,4,4,detached,161803,B,final,0.004661101463221299,0.020776776365184515,0.0229890113139938,0.0,0.8839285714285714,0.006302667035001042,6.6282469891011715,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-B,euler,4,4,detached,161803,B,best_one_step,0.004661101463221299,0.020776776365184515,0.0229890113139938,0.0,0.8839285714285714,0.006302667035001042,6.6282469891011715,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-B,euler,4,4,detached,161803,B,best_rollout,0.004661101463221299,0.020776776365184515,0.0229890113139938,0.0,0.8839285714285714,0.006302667035001042,6.6282469891011715,400,400,False
wave1-euler,euler-b4-L4-detached-s161803-B,euler,4,4,detached,161803,B,epoch120,0.006322886653459822,0.02782443763777784,0.029943392847736863,0.0,0.8646763392857143,0.008664846619779204,6.6282469891011715,400,120,False
wave1-euler,euler-b4-L4-detached-s271828-A,euler,4,4,detached,271828,A,final,0.007878254213033757,0.03349476680159569,0.038048401474952705,0.0,0.8323102678571428,0.011061101205919669,6.8292828388512135,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-A,euler,4,4,detached,271828,A,best_one_step,0.007878254213033757,0.03349476680159569,0.038048401474952705,0.0,0.8323102678571428,0.011061101205919669,6.8292828388512135,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-A,euler,4,4,detached,271828,A,best_rollout,0.007878254213033757,0.03349476680159569,0.038048401474952705,0.0,0.8323102678571428,0.011061101205919669,6.8292828388512135,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-A,euler,4,4,detached,271828,A,epoch120,0.008726400153108884,0.03692825883626938,0.040477402508258827,0.0,0.8219866071428572,0.012278925891550111,6.8292828388512135,400,120,False
wave1-euler,euler-b4-L4-detached-s271828-B,euler,4,4,detached,271828,B,final,0.007717727945075396,0.03336966518258427,0.03811252473999999,0.0,0.830078125,0.010853284517210935,6.9752915278077126,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-B,euler,4,4,detached,271828,B,best_one_step,0.007717727945075396,0.03336966518258427,0.03811252473999999,0.0,0.830078125,0.010853284517210935,6.9752915278077126,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-B,euler,4,4,detached,271828,B,best_rollout,0.007717727945075396,0.03336966518258427,0.03811252473999999,0.0,0.830078125,0.010853284517210935,6.9752915278077126,400,400,False
wave1-euler,euler-b4-L4-detached-s271828-B,euler,4,4,detached,271828,B,epoch120,0.008789783111788779,0.03809024193059484,0.04197347687306453,0.0,0.81640625,0.012515211074264785,6.9752915278077126,400,120,False
wave1-euler,euler-b4-L4-detached-s31415-A,euler,4,4,detached,31415,A,final,0.004175309157374293,0.018126497045159343,0.019915230572223663,0.0,0.9026227678571429,0.0055123073579863005,6.6709202118217945,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-A,euler,4,4,detached,31415,A,best_one_step,0.004175309157374293,0.018126497045159343,0.019915230572223663,0.0,0.9026227678571429,0.0055123073579863005,6.6709202118217945,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-A,euler,4,4,detached,31415,A,best_rollout,0.004175309157374293,0.018126497045159343,0.019915230572223663,0.0,0.9026227678571429,0.0055123073579863005,6.6709202118217945,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-A,euler,4,4,detached,31415,A,epoch120,0.005699562864773816,0.02492155693471432,0.02640063315629959,0.0,0.8791852678571429,0.00769099421666263,6.6709202118217945,400,120,False
wave1-euler,euler-b4-L4-detached-s31415-B,euler,4,4,detached,31415,B,final,0.003735462116948435,0.01642387097341534,0.01839001804948995,0.0,0.9093191964285714,0.004951715455519687,6.580237809568644,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-B,euler,4,4,detached,31415,B,best_one_step,0.003735462116948435,0.01642387097341534,0.01839001804948995,0.0,0.9093191964285714,0.004951715455519687,6.580237809568644,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-B,euler,4,4,detached,31415,B,best_rollout,0.003735462116948435,0.01642387097341534,0.01839001804948995,0.0,0.9093191964285714,0.004951715455519687,6.580237809568644,400,400,False
wave1-euler,euler-b4-L4-detached-s31415-B,euler,4,4,detached,31415,B,epoch120,0.0054040634187064954,0.023904541078248638,0.025823531678251407,0.0,0.8830915178571429,0.007338277100881908,6.580237809568644,400,120,False
wave1-euler,euler-b4-L4-initial-s161803-A,euler,4,4,initial,161803,A,final,0.007191967492072633,0.0322343148291111,0.036303497850894935,0.0,0.8258928571428572,0.010138245746545314,1.8735930286347866,400,400,False
wave1-euler,euler-b4-L4-initial-s161803-A,euler,4,4,initial,161803,A,best_one_step,0.007191967492072633,0.0322343148291111,0.036303497850894935,0.0,0.8258928571428572,0.010138245746545314,1.8735930286347866,400,400,False
wave1-euler,euler-b4-L4-initial-s161803-A,euler,4,4,initial,161803,A,best_rollout,0.007191967492072633,0.0322343148291111,0.036303497850894935,0.0,0.8258928571428572,0.010138245746545314,1.8735930286347866,400,400,False
wave1-euler,euler-b4-L4-initial-s161803-A,euler,4,4,initial,161803,A,epoch120,0.008038253683370994,0.03582250326871872,0.039861090481281274,0.0,0.8158482142857143,0.011427139982078182,1.8735930286347866,400,120,False
wave1-euler,euler-b4-L4-initial-s161803-B,euler,4,4,initial,161803,B,final,0.007249236141308113,0.03241477952304148,0.03664670491793984,0.0,0.8247767857142857,0.010211787526287618,1.8118061311542988,400,400,False
wave1-euler,euler-b4-L4-initial-s161803-B,euler,4,4,initial,161803,B,best_one_step,0.007249236141308113,0.03241477952304148,0.03664670491793984,0.0,0.8247767857142857,0.010211787526287618,1.8118061311542988,400,400,False
wave1-euler,euler-b4-L4-initial-s161803-B,euler,4,4,initial,161803,B,best_rollout,0.006458067423395192,0.028804842604908946,0.03089381660563703,0.0,0.8602120535714286,0.008984942660059673,1.8118061311542988,400,60,False
wave1-euler,euler-b4-L4-initial-s161803-B,euler,4,4,initial,161803,B,epoch120,0.00817124945012804,0.036387383618236895,0.040643368741470655,0.0,0.8141741071428572,0.011633298590776641,1.8118061311542988,400,120,False
wave1-euler,euler-b4-L4-initial-s271828-A,euler,4,4,initial,271828,A,final,0.008162025331324822,0.03637929633259773,0.04043462872505187,0.0,0.8155691964285714,0.011669812161970425,1.8461135551333427,400,400,False
wave1-euler,euler-b4-L4-initial-s271828-A,euler,4,4,initial,271828,A,best_one_step,0.008162025331324822,0.03637929633259773,0.04043462872505187,0.0,0.8155691964285714,0.011669812161970425,1.8461135551333427,400,400,False
wave1-euler,euler-b4-L4-initial-s271828-A,euler,4,4,initial,271828,A,best_rollout,0.006848129071051165,0.0297344159334898,0.031086683273315426,0.0,0.8621651785714286,0.009411490910080426,1.8461135551333427,400,50,False
wave1-euler,euler-b4-L4-initial-s271828-A,euler,4,4,initial,271828,A,epoch120,0.00905203325062566,0.040071725845336914,0.04423904418945312,0.0,0.8046875,0.013016840803492526,1.8461135551333427,400,120,False
wave1-euler,euler-b4-L4-initial-s271828-B,euler,4,4,initial,271828,B,final,0.008287466844080672,0.03685272632435772,0.04111791052579245,0.0,0.8141741071428572,0.011816379029892372,1.8474951051175594,400,400,False
wave1-euler,euler-b4-L4-initial-s271828-B,euler,4,4,initial,271828,B,best_one_step,0.008287466844080672,0.03685272632435772,0.04111791052579245,0.0,0.8141741071428572,0.011816379029892372,1.8474951051175594,400,400,False
wave1-euler,euler-b4-L4-initial-s271828-B,euler,4,4,initial,271828,B,best_rollout,0.006794381101927651,0.0295823472102593,0.030914839914168678,0.0,0.865234375,0.009269416047024432,1.8474951051175594,400,50,False
wave1-euler,euler-b4-L4-initial-s271828-B,euler,4,4,initial,271828,B,epoch120,0.009294388168611896,0.04098496791833833,0.045446715818454976,0.0,0.8024553571428572,0.013323940248004172,1.8474951051175594,400,120,False
wave1-euler,euler-b4-L4-initial-s31415-A,euler,4,4,initial,31415,A,final,0.006690373745275199,0.03006846643984318,0.033932171761989594,0.0,0.8367745535714286,0.009448599709318958,1.8282113932073116,400,400,False
wave1-euler,euler-b4-L4-initial-s31415-A,euler,4,4,initial,31415,A,best_one_step,0.006690373745275199,0.03006846643984318,0.033932171761989594,0.0,0.8367745535714286,0.009448599709318958,1.8282113932073116,400,400,False
wave1-euler,euler-b4-L4-initial-s31415-A,euler,4,4,initial,31415,A,best_rollout,0.006690373745275199,0.03006846643984318,0.033932171761989594,0.0,0.8367745535714286,0.009448599709318958,1.8282113932073116,400,400,False
wave1-euler,euler-b4-L4-initial-s31415-A,euler,4,4,initial,31415,A,epoch120,0.007631552728132595,0.0341433323919773,0.03808527812361717,0.0,0.8239397321428572,0.010866893374989854,1.8282113932073116,400,120,False
