epoch,train_mse,validation_mse,seconds
1,0.004315486177802086,0.0030978768481872976,0.021793056279420853
2,0.0037435428239405155,0.002846261893864721,0.04297354817390442
3,0.0033563629258424044,0.002704497038697203,0.06403171643614769
4,0.0031100409105420113,0.0026308437809348106,0.08491327613592148
5,0.002958826255053282,0.002578770062730958,0.10583522543311119
6,0.002851573284715414,0.002506884658941999,0.1265086531639099
7,0.0027413396164774895,0.0023956071818247437,0.1473255641758442
8,0.0026032021269202232,0.0022465254878625274,0.1683286912739277
9,0.0024354374036192894,0.002072742732707411,0.18907280638813972
10,0.0022496781311929226,0.001890863641165197,0.21014994010329247
11,0.002061917446553707,0.0017159968459357817,0.23017341271042824
12,0.0018866134341806173,0.0015586118097417057,0.25022775307297707
13,0.0017328100511804223,0.001422311974844585,0.2701207548379898
14,0.0016013933345675468,0.0013031425914959982,0.2900595925748348
15,0.0014845605473965406,0.0011924827413167804,0.310401801019907
16,0.0013700455892831087,0.001082842538986976,0.33102618157863617
17,0.0012484404724091291,0.0009720497376595935,0.35176530107855797
18,0.0011179281864315271,0.0008636406807151312,0.37253547087311745
19,0.0009842985309660435,0.0007644855625888644,0.39312710240483284
20,0.0008578437264077365,0.0006810674021835439,0.41362204402685165
21,0.0007488480187021196,0.0006154233293879466,0.4347211942076683
22,0.0006627519614994526,0.0005624965124297887,0.4554806351661682
23,0.0005967611214146018,0.0005121286909949655,0.47623730078339577
24,0.0005414106417447329,0.00045629679516423494,0.497099082916975
25,0.0004881459753960371,0.0003953432848599429,0.5181921496987343
26,0.00043640745570883155,0.00033757120157436776,0.5392171815037727
27,0.0003936302091460675,0.0002935648553830106,0.5601644925773144
28,0.000369162589777261,0.0002692691838698617,0.5810376778244972
29,0.0003666016855277121,0.00026198754252012196,0.6019231639802456
30,0.0003796838573180139,0.00026316437530719366,0.6230197437107563
31,0.00039635150460526347,0.0002661940779944416,0.6438291892409325
32,0.00040843497845344245,0.00027086001621986117,0.6643025875091553
33,0.0004166527069173753,0.0002803081855139074,0.6846421100199223
34,0.0004265152965672314,0.0002947524687139473,0.7050838433206081
35,0.00044047742267139256,0.0003085239683665956,0.7254538983106613
36,0.00045399271766655147,0.0003140356808823223,0.7458549663424492
37,0.0004595653444994241,0.00030851877212019946,0.766134187579155
38,0.0004542739479802549,0.00029581808848888613,0.7865119464695454
39,0.00044194646761752665,0.0002822764072334394,0.8069452829658985
40,0.00042867701267823577,0.0002718010024788479,0.8274597898125648
41,0.0004174286441411823,0.000264461274734155,0.8478489853441715
42,0.00040686066495254636,0.0002588842653494794,0.8686652109026909
43,0.0003946025390177965,0.00025503190227027517,0.8893207088112831
44,0.0003807633765973151,0.00025435156324723113,0.9100787974894047
45,0.00036804433329962194,0.00025782271465383627,0.9305779822170734
46,0.0003591558779589832,0.0002644107541224609,0.9511106461286545
47,0.0003546161751728505,0.00027148839095995453,0.9717327393591404
48,0.00035281525924801826,0.0002766681112310228,0.992263812571764
49,0.00035181810380890965,0.000279262704376985,1.0128218568861485
50,0.00035092857433483005,0.00028024259154335596,1.0335069485008717
51,0.00035071041202172637,0.0002810883815982379,1.0540297962725163
52,0.0003518774756230414,0.00028268355648227345,1.074613656848669
53,0.00035430205753073096,0.0002850258703498791,1.0951623544096947
54,0.00035698586725629866,0.000287688785950498,1.1156988181173801
55,0.00035884149838238955,0.0002903837157646194,1.1361433081328869
