cell,seed,noise,model,budget,mse,best_update,plateau_improvement,plateau
18,3105,0.01,autonomous,5000,2.060378207673821e-05,9000,0.0,True
18,3105,0.01,autonomous,10000,5.650227585385527e-06,9000,0.0,True
18,3105,0.01,autonomous,20000,5.650227585385527e-06,9000,0.0,True
19,3105,0.01,query,2000,0.005133153783108953,18500,0.06439096577069858,False
19,3105,0.01,query,5000,9.48373224827255e-05,18500,0.06439096577069858,False
19,3105,0.01,query,10000,5.5560200054799505e-05,18500,0.06439096577069858,False
19,3105,0.01,query,20000,6.009190714520353e-05,18500,0.06439096577069858,False
20,3106,0.0,autonomous,2000,0.0075776723661500995,14800,0.0,True
20,3106,0.0,autonomous,5000,4.9928618966246815e-05,14800,0.0,True
20,3106,0.0,autonomous,10000,7.486828947507754e-07,14800,0.0,True
20,3106,0.0,autonomous,20000,7.577016889002258e-07,14800,0.0,True
21,3106,0.0,query,2000,0.00733060921177635,19000,0.3803376769592375,False
21,3106,0.0,query,5000,4.504898799136238e-05,19000,0.3803376769592375,False
21,3106,0.0,query,10000,1.6908255444585374e-06,19000,0.3803376769592375,False
21,3106,0.0,query,20000,5.661993144154729e-07,19000,0.3803376769592375,False
22,3106,0.01,autonomous,2000,0.006843509440804569,5900,0.0,True
22,3106,0.01,autonomous,5000,2.2663784933124005e-05,5900,0.0,True
22,3106,0.01,autonomous,10000,1.8047772255921254e-05,5900,0.0,True
22,3106,0.01,autonomous,20000,1.8047772255921254e-05,5900,0.0,True
23,3106,0.01,query,2000,0.006483276998584851,3700,0.0,True
23,3106,0.01,query,5000,1.9220758095816004e-05,3700,0.0,True
23,3106,0.01,query,10000,1.9220758095816004e-05,3700,0.0,True
23,3106,0.01,query,20000,1.9220758095816004e-05,3700,0.0,True
