seed,model,snapshot_time,conditioning_time,pair_family,sample_count,reference_mean,reference_median,reference_p95,reference_max,learned_mean,learned_median,learned_p95,learned_max,pair_distance_min,pair_distance_median,pair_distance_max,reference_bound,reference_bound_pass,nonfinite_events
161803,latent_query_time,0.0,0.075,cyclic_cross_sample,500,-0.0060076408519816075,-0.015435808032460722,0.16815525270916876,0.3416973045911319,-0.006843644587061135,-0.015357151627540588,0.1755470640957355,0.5330865979194641,0.21186449583714737,0.9810122272617472,1.5811365373071247,1.0001,True,0
161803,latent_query_time,0.0,0.075,sinusoidal_0.001,500,-0.6612045558321907,-0.5000757375762319,0.21787941878453235,0.46858950426737017,-0.4355808021905832,-0.31530673801898956,0.40845396965742065,0.8603495955467224,0.0031622404190681957,0.0031622775921724185,0.0031623174034204455,1.0001,True,0
161803,latent_query_time,0.0,0.075,sinusoidal_0.01,500,-0.6612070187551676,-0.5000788343915059,0.21412892943726633,0.473638311068348,-0.43390022665041034,-0.3124864250421524,0.40900917202234266,0.9241355061531067,0.03162273743517248,0.031622775611067286,0.03162280608472783,1.0001,True,0
161803,latent_query_time,0.0,0.15,cyclic_cross_sample,500,-0.0060076408519816075,-0.015435808032460722,0.16815525270916876,0.3416973045911319,-0.006838813643676986,-0.015352298505604267,0.17554746419191355,0.5330730676651001,0.21186449583714737,0.9810122272617472,1.5811365373071247,1.0001,True,0
161803,latent_query_time,0.0,0.15,sinusoidal_0.001,500,-0.6612045558321907,-0.5000757375762319,0.21787941878453235,0.46858950426737017,-0.4355729404427111,-0.31529703736305237,0.40843994021415664,0.8603249192237854,0.0031622404190681957,0.0031622775921724185,0.0031623174034204455,1.0001,True,0
161803,latent_query_time,0.0,0.15,sinusoidal_0.01,500,-0.6612070187551676,-0.5000788343915059,0.21412892943726633,0.473638311068348,-0.4338924003909342,-0.3124767541885376,0.40900076031684873,0.9241107106208801,0.03162273743517248,0.031622775611067286,0.03162280608472783,1.0001,True,0
161803,latent_query_time,0.6,0.075,cyclic_cross_sample,500,-0.15933055892133047,-0.15975272699897503,0.009914740625369059,0.14314129727838615,-0.19433771934825927,-0.19341396540403366,-0.03789820168167353,0.13118818402290344,0.17404557041606772,0.949459784589676,1.6293373818348817,1.0001,True,0
161803,latent_query_time,0.6,0.075,sinusoidal_0.001,500,-0.9016100229922351,-0.7378872046744276,-0.025557404163382997,0.26886882260541994,-0.7483930420447141,-0.6294182538986206,0.014140220033004799,0.41201311349868774,0.0031622408012574104,0.0031622781871679627,0.0031623207940539503,1.0001,True,0
161803,latent_query_time,0.6,0.075,sinusoidal_0.01,500,-0.9016121932770166,-0.7378821472931003,-0.02623163770256428,0.26214767688341895,-0.7479478939021937,-0.6311168968677521,0.010358376614749401,0.385365754365921,0.03162273481826685,0.03162277665968219,0.03162281680334984,1.0001,True,0
161803,latent_query_time,0.6,0.15,cyclic_cross_sample,500,-0.15933055892133047,-0.15975272699897503,0.009914740625369059,0.14314129727838615,-0.19432694791490213,-0.19340239465236664,-0.03789074011147022,0.13119566440582275,0.17404557041606772,0.949459784589676,1.6293373818348817,1.0001,True,0
161803,latent_query_time,0.6,0.15,sinusoidal_0.001,500,-0.9016100229922351,-0.7378872046744276,-0.025557404163382997,0.26886882260541994,-0.7483813381884247,-0.6294064819812775,0.014136571157723583,0.4119943380355835,0.0031622408012574104,0.0031622781871679627,0.0031623207940539503,1.0001,True,0
161803,latent_query_time,0.6,0.15,sinusoidal_0.01,500,-0.9016121932770166,-0.7378821472931003,-0.02623163770256428,0.26214767688341895,-0.7479361839110498,-0.6311022341251373,0.010358890052884786,0.3853473365306854,0.03162273481826685,0.03162277665968219,0.03162281680334984,1.0001,True,0
161803,latent_query_time,1.2,0.075,cyclic_cross_sample,500,-0.3448267280873197,-0.3355844292442619,-0.16160381313935468,0.07625288364034871,-0.3857537977732718,-0.38381853699684143,-0.23084018751978888,0.013607693836092949,0.12846224800532746,0.8118778410780068,1.5211242135874383,1.0001,True,0
161803,latent_query_time,1.2,0.075,sinusoidal_0.001,500,-1.1440645197216759,-0.9840132715129726,-0.28161492491310547,0.09149218133569169,-0.9895638585835695,-0.8854818642139435,-0.2985318616032602,0.1454468071460724,0.003162229480887592,0.0031622774354628964,0.0031623306918357953,1.0001,True,0
161803,latent_query_time,1.2,0.075,sinusoidal_0.01,500,-1.1440666627441702,-0.9840127785777377,-0.28795993663480285,0.08477584250643948,-0.9887735477387906,-0.8853996992111206,-0.30173173993825914,0.12754347920417786,0.031622722665353174,0.03162277542969889,0.03162283491970232,1.0001,True,0
161803,latent_query_time,1.2,0.15,cyclic_cross_sample,500,-0.3448267280873197,-0.3355844292442619,-0.16160381313935468,0.07625288364034871,-0.3857405840307474,-0.38380493223667145,-0.2308284625411035,0.013611435890197754,0.12846224800532746,0.8118778410780068,1.5211242135874383,1.0001,True,0
161803,latent_query_time,1.2,0.15,sinusoidal_0.001,500,-1.1440645197216759,-0.9840132715129726,-0.28161492491310547,0.09149218133569169,-0.9895532250329853,-0.8854690790176392,-0.2985244497656823,0.1454319953918457,0.003162229480887592,0.0031622774354628964,0.0031623306918357953,1.0001,True,0
161803,latent_query_time,1.2,0.15,sinusoidal_0.01,500,-1.1440666627441702,-0.9840127785777377,-0.28795993663480285,0.08477584250643948,-0.9887626226097346,-0.8853873014450073,-0.30172134041786197,0.12753266096115112,0.031622722665353174,0.03162277542969889,0.03162283491970232,1.0001,True,0
161803,latent_query_time,2.4,0.075,cyclic_cross_sample,500,-0.7158847607830323,-0.7195306658946234,-0.512177714706832,-0.3356438490826271,-0.6982643393874168,-0.7013849020004272,-0.5289297550916672,-0.4038976728916168,0.06066813352424881,0.4180112479382427,0.9719061613093,1.0001,True,0
161803,latent_query_time,2.4,0.075,sinusoidal_0.001,500,-1.5360921588351681,-1.3784186718465925,-0.7213026366227566,-0.3479596693495774,-1.297528745174408,-1.2043740153312683,-0.6391989052295686,-0.34675097465515137,0.0031622230402137638,0.0031622773291861183,0.00316234901314941,1.0001,True,0
161803,latent_query_time,2.4,0.075,sinusoidal_0.01,500,-1.5360943792797708,-1.3784176744973742,-0.7216047566246161,-0.3546813484253937,-1.29323774933815,-1.2009427547454834,-0.6327117949724198,-0.3581693470478058,0.03162271516247552,0.03162277568332261,0.031622836648243675,1.0001,True,0
161803,latent_query_time,2.4,0.15,cyclic_cross_sample,500,-0.7158847607830323,-0.7195306658946234,-0.512177714706832,-0.3356438490826271,-0.6982593694925309,-0.7013799846172333,-0.5289198696613312,-0.4038837254047394,0.06066813352424881,0.4180112479382427,0.9719061613093,1.0001,True,0
161803,latent_query_time,2.4,0.15,sinusoidal_0.001,500,-1.5360921588351681,-1.3784186718465925,-0.7213026366227566,-0.3479596693495774,-1.2975273253917694,-1.2043723464012146,-0.639192768931389,-0.3467426300048828,0.0031622230402137638,0.0031622773291861183,0.00316234901314941,1.0001,True,0
161803,latent_query_time,2.4,0.15,sinusoidal_0.01,500,-1.5360943792797708,-1.3784176744973742,-0.7216047566246161,-0.3546813484253937,-1.2932361790537834,-1.200941562652588,-0.6327086418867112,-0.35815685987472534,0.03162271516247552,0.03162277568332261,0.031622836648243675,1.0001,True,0
161803,latent_query_time,4.8,0.075,cyclic_cross_sample,500,-1.044411395798041,-1.036835066507071,-0.9622850940541724,-0.9269613313040459,-0.7972510423660278,-0.7911364734172821,-0.7520092457532883,-0.7164989709854126,0.008935481060088487,0.044631795246071235,0.1398170821876279,1.0001,True,0
161803,latent_query_time,4.8,0.075,sinusoidal_0.001,500,-1.819930229654066,-1.6668741048452536,-1.0243406190776851,-0.9576090544546361,-1.3618995449542999,-1.2680725455284119,-0.6988268047571184,-0.6419169306755066,0.0031621895917486775,0.00316227877323563,0.0031623420949372814,1.0001,True,0
161803,latent_query_time,4.8,0.075,sinusoidal_0.01,500,-1.8454363243829592,-1.6873620192186296,-1.023106021099938,-0.9643236065138957,-1.3573241756558418,-1.0954992175102234,-0.5705742806196215,-0.4380588233470917,0.023201559767281398,0.0300611107298462,0.03162284100730349,1.0001,True,0
161803,latent_query_time,4.8,0.15,cyclic_cross_sample,500,-1.044411395798041,-1.036835066507071,-0.9622850940541724,-0.9269613313040459,-0.797252284526825,-0.7911378741264343,-0.7520103186368943,-0.716499924659729,0.008935481060088487,0.044631795246071235,0.1398170821876279,1.0001,True,0
161803,latent_query_time,4.8,0.15,sinusoidal_0.001,500,-1.819930229654066,-1.6668741048452536,-1.0243406190776851,-0.9576090544546361,-1.361901128411293,-1.2680740356445312,-0.6988275945186617,-0.6419177055358887,0.0031621895917486775,0.00316227877323563,0.0031623420949372814,1.0001,True,0
161803,latent_query_time,4.8,0.15,sinusoidal_0.01,500,-1.8454363243829592,-1.6873620192186296,-1.023106021099938,-0.9643236065138957,-1.3573257160186767,-1.0955009460449219,-0.570575511455536,-0.4380597770214081,0.023201559767281398,0.0300611107298462,0.03162284100730349,1.0001,True,0
