update,loss,validation_mse,training_seconds
1,0.004882139153778553,0.15338046135412078,1.5178247119765729
100,3.933499465347268e-05,0.0018159944725284981,3.340847317362204
200,3.897890928783454e-05,0.0018517158790275778,5.206894047209062
300,3.885596743202768e-05,0.0018528591243282605,6.653509774943814
400,3.869594002026133e-05,0.0018373154029798526,8.345592487137765
500,3.8539976230822504e-05,0.001828921661194471,10.189253657590598
600,3.8370177207980305e-05,0.0018205021166997478,11.942824195954017
700,3.817971810349263e-05,0.0018106350760274956,13.70228798140306
800,3.796333840000443e-05,0.0017991626479508648,15.45742332818918
900,3.77156502509024e-05,0.0017861237392117876,17.21033364115283
1000,3.7430101656354964e-05,0.00177063257669542,18.9572813649429
1100,3.709815791808069e-05,0.001753680203545954,20.937946997233666
1200,3.6709781852550805e-05,0.0017318245574217434,22.884527871734463
1300,3.6251149140298367e-05,0.0017071072579824757,24.326694282121025
1400,3.5703480534721166e-05,0.0016773618949929173,26.075980352587067
1500,3.50394839188084e-05,0.0016422079356920411,27.830840657348745
1600,3.421775909373537e-05,0.0015985464080164667,29.70479979296215
1700,3.317036316730082e-05,0.0015429914622623483,31.149308825843036
1800,3.177675898768939e-05,0.00147089508182595,32.902470604050905
1900,2.9808863473590463e-05,0.0013701604634828982,34.65480029536411
2000,2.681531805137638e-05,0.0012203790330941517,36.52809311717283
2100,2.1987187210470438e-05,0.000986369896827823,37.976681617088616
2200,1.4586504221369978e-05,0.0006411712321788266,39.42329704633448
2300,6.254295385588193e-06,0.0002732319164751833,41.29387323814444
2400,1.4255683709052391e-06,6.574124227975236e-05,42.73651046259329
2500,2.5238185230591625e-07,1.3516667159312493e-05,44.17878586228471
2600,1.20554702220943e-07,6.37772115065768e-06,45.8292030103039
2700,1.1084566153840569e-07,5.467323983815371e-06,47.270589844323695
2800,1.0798519411991947e-07,5.2195143656556205e-06,48.75518792856019
2900,1.1387305676180404e-07,5.77520535039017e-06,50.661841876921244
3000,1.0427411467617276e-07,4.9990240638299e-06,52.10715976310894
3100,1.0234786174123656e-07,4.897523745424434e-06,54.0248721948592
3200,1.0040112385922839e-07,4.798602108617773e-06,56.03783108328935
3300,9.839516224019462e-08,4.692141621496735e-06,57.48739151482005
3400,9.665842526374036e-08,4.589396707193064e-06,58.93671595561318
3500,9.429329850263457e-08,4.481581015265415e-06,60.92986616818234
3600,1.1331221827504123e-07,5.22586027792548e-06,62.374538222444244
3700,9.00586769603251e-08,4.2659539837825085e-06,64.12756921793334
