epoch,train_mse,validation_mse,seconds
1,0.0011636519338935614,0.002734409257148703,0.006935976445674896
2,0.0010431184200569987,0.002556949077794949,0.013260696083307266
3,0.0009449244826100767,0.0024055377580225468,0.01943967491388321
4,0.0008661608444526792,0.0022292130743153393,0.025632545351982117
5,0.0007911385037004948,0.002007216156926006,0.03178907930850983
6,0.0007089062128216028,0.0017551785955826442,0.03799927979707718
7,0.0006208490231074393,0.0014948252743730943,0.04406801238656044
8,0.0005322478828020394,0.0012453129359831412,0.05014556646347046
9,0.00044842014904133976,0.0010212703006497275,0.056235842406749725
10,0.0003733370976988226,0.0008297995833951669,0.06234874948859215
11,0.00030821404652670026,0.0006674935187523564,0.0686676986515522
12,0.00025064931833185256,0.0005245876721649741,0.07505754381418228
13,0.00019698315009009093,0.00039548558318832267,0.08132896944880486
14,0.00014647439820691943,0.0002827636005046467,0.08748411014676094
15,0.00010202918929280713,0.0001930223334056791,0.09375834092497826
16,6.779289833502844e-05,0.00013070187984946338,0.10006064921617508
17,4.62133830296807e-05,9.375271686925164e-05,0.10631803423166275
18,3.598596231313422e-05,7.547050199718797e-05,0.11255995184183121
19,3.293946065241471e-05,7.158856806199765e-05,0.11886472627520561
20,3.373322761035524e-05,8.305848617358909e-05,0.12489401549100876
21,3.7832629459444433e-05,0.00011171751672615453,0.1309223249554634
22,4.613497731043026e-05,0.00015373756590027673,0.1369018591940403
23,5.83606815780513e-05,0.00019659836410331385,0.14293544739484787
24,7.146180723793805e-05,0.00022527318772821067,0.14901497960090637
25,8.116077515296638e-05,0.00023287653311854228,0.15504612401127815
26,8.533953950973228e-05,0.00022311433410019768,0.16108380630612373
27,8.493615314364433e-05,0.00020444641874443428,0.16705291345715523
28,8.201297896448523e-05,0.00018359948929476863,0.1731056235730648
29,7.766799535602331e-05,0.000163036770876109,0.1791168600320816
30,7.161447138059884e-05,0.00014299244260958707,0.18520420044660568
31,6.350168405333534e-05,0.00012446518667275086,0.1915869191288948
32,5.416942076408304e-05,0.0001094157696570619,0.19766820967197418
33,4.534746767603792e-05,9.88593559062186e-05,0.2037009447813034
34,3.841820580419153e-05,9.176359587096765e-05,0.209764763712883
35,3.3638207241892815e-05,8.610756291697423e-05,0.21577922254800797
36,3.0424944270635024e-05,8.084406711835375e-05,0.22168248146772385
37,2.820690679072868e-05,7.664864157656363e-05,0.22773847728967667
38,2.6908028303296305e-05,7.496409519565835e-05,0.23373542353510857
39,2.6743655325844884e-05,7.652977092220681e-05,0.2397575005888939
40,2.7737349228118546e-05,8.068661463767057e-05,0.24583982676267624
41,2.9481841920642182e-05,8.586204482223063e-05,0.251849640160799
42,3.132913843728602e-05,9.063012582070466e-05,0.2578599452972412
43,3.2782565540401265e-05,9.437144823702208e-05,0.2638159431517124
44,3.371368075022474e-05,9.711418473064744e-05,0.2696932405233383
45,3.4254662750754505e-05,9.893828367542785e-05,0.2757253907620907
46,3.4534277801867574e-05,9.959104621278432e-05,0.2816646546125412
47,3.4518277971073985e-05,9.863280441398577e-05,0.2876369543373585
48,3.407241456443444e-05,9.589464085972092e-05,0.29349076747894287
49,3.314992500236258e-05,9.175995122253273e-05,0.2993694506585598
50,3.18985476042144e-05,8.700686779169094e-05,0.3052968494594097
51,3.0585146305384114e-05,8.239159418129323e-05,0.31121791526675224
52,2.9420627470244654e-05,7.836491082950185e-05,0.3170885592699051
53,2.8457447115215473e-05,7.512288190506904e-05,0.32293616980314255
54,2.7644618967315182e-05,7.2823490427254e-05,0.3288257531821728
55,2.6960620743921027e-05,7.164672691336212e-05,0.334684032946825
56,2.647245673870202e-05,7.160298203719624e-05,0.34058067947626114
57,2.626539207994938e-05,7.233081578306155e-05,0.3465445078909397
58,2.6334315407439135e-05,7.31779647746104e-05,0.3524850010871887
59,2.656497963471338e-05,7.356407756257492e-05,0.35846706107258797
60,2.6823712687473744e-05,7.330856396947638e-05,0.3644978031516075
61,2.7049658456235193e-05,7.263954300166613e-05,0.37101004645228386
62,2.725292870309204e-05,7.19295806751082e-05,0.37718382477760315
63,2.7439353289082646e-05,7.144088340282906e-05,0.38347552716732025
64,2.7564541596802883e-05,7.126786840672139e-05,0.38976070284843445
65,2.7570124075282365e-05,7.140872700498828e-05,0.3958158828318119
66,2.7448319087852724e-05,7.17984567017993e-05,0.4017995372414589
67,2.7251548090134747e-05,7.227335527204559e-05,0.4077151194214821
68,2.7041078283218667e-05,7.258439669991883e-05,0.4136817120015621
69,2.6839943529921584e-05,7.252633198125598e-05,0.4195549003779888
70,2.66419883701019e-05,7.208531436238748e-05,0.4254363588988781
71,2.645085987751372e-05,7.14568071392326e-05,0.4312765672802925
72,2.6295932912034914e-05,7.091545997658007e-05,0.4375319294631481
73,2.620548002596479e-05,7.065991091318817e-05,0.44378576800227165
74,2.617847167130094e-05,7.075210214679828e-05,0.4496624730527401
75,2.618882353999652e-05,7.115056390224102e-05,0.4556027501821518
76,2.6212943339487538e-05,7.175680381502995e-05,0.46155189350247383
77,2.624571970955003e-05,7.242919627969968e-05,0.4675297439098358
78,2.628940092108678e-05,7.299518983927555e-05,0.4736012630164623
79,2.6336076189181767e-05,7.330185902295246e-05,0.47945745661854744
80,2.63676411123015e-05,7.328508096785906e-05,0.4853977784514427
81,2.6372179490863346e-05,7.299792772149279e-05,0.4912845268845558
82,2.6353163775638677e-05,7.257167241429367e-05,0.49720125645399094
83,2.6322228222852573e-05,7.21455980965402e-05,0.5030794441699982
84,2.6285877538612112e-05,7.181851848751346e-05,0.5089434795081615
85,2.6243178581353277e-05,7.163696015292469e-05,0.5147724896669388
86,2.6194511519861408e-05,7.159694663035528e-05,0.5206929706037045
87,2.6147139578824863e-05,7.164480666688178e-05,0.5266305096447468
88,2.6110450562555343e-05,7.169041388503199e-05,0.5326277874410152
89,2.6087367587024346e-05,7.164594247418184e-05,0.5386811010539532
90,2.607392889331095e-05,7.147402963407028e-05,0.5446184463799
91,2.6065867132274434e-05,7.120752631332532e-05,0.5510443523526192
92,2.6062953111249954e-05,7.092753382191101e-05,0.5570890977978706
93,2.6065987185575068e-05,7.071848510046645e-05,0.5630843937397003
94,2.6072157197631896e-05,7.063313811765208e-05,0.5693496577441692
95,2.6076297217514366e-05,7.067889115811947e-05,0.5754449144005775
96,2.6075063942698762e-05,7.081965592684962e-05,0.5813643671572208
97,2.60693377640564e-05,7.098815149220172e-05,0.5873203799128532
98,2.6060995878651738e-05,7.111101573779403e-05,0.593239925801754
99,2.605024383228738e-05,7.114083139943735e-05,0.5994297526776791
100,2.6036268536699936e-05,7.107807944824647e-05,0.605367798358202
101,2.6019893994089216e-05,7.096699391695438e-05,0.6113918721675873
102,2.6003868697443977e-05,7.086934298664953e-05,0.6173865124583244
103,2.5990149879362434e-05,7.083458755611598e-05,0.6232587061822414
104,2.5978715711971745e-05,7.08825167142398e-05,0.6292339041829109
105,2.5968594854930416e-05,7.099961476342287e-05,0.6351198367774487
106,2.5960063794627786e-05,7.114673568745881e-05,0.6409238316118717
107,2.595352998469025e-05,7.127431157035365e-05,0.6468520648777485
108,2.594863690319471e-05,7.134244363745286e-05,0.6528006382286549
109,2.5944053049897775e-05,7.133763195573313e-05,0.6588328145444393
110,2.5938737962860614e-05,7.127641038096044e-05,0.6648206450045109
111,2.59325752267614e-05,7.119417387002613e-05,0.6707740314304829
112,2.5925866793841124e-05,7.112713380289885e-05,0.6771478466689587
113,2.5918474420905113e-05,7.109747745441079e-05,0.6832345649600029
114,2.5910001568263397e-05,7.110670503607253e-05,0.6893210783600807
115,2.5900611944962293e-05,7.113734682206996e-05,0.6952784657478333
116,2.5890933102346025e-05,7.1161712033548e-05,0.7012578956782818
117,2.5881510737235658e-05,7.11550167883009e-05,0.7071408629417419
118,2.5872392143355682e-05,7.110735517320184e-05,0.7131247296929359
119,2.5863453629426658e-05,7.102830431904295e-05,0.719087153673172
120,2.5854827981675044e-05,7.094136966164417e-05,0.7250240556895733
