seed,model,conditioning_time,horizon,composition_depth,substeps_per_call,finest_substeps_per_call,total_substeps,total_rhs_evaluations,rms_learned_flow_difference_vs_finest_l2,relative_error_mean,relative_error_p95,relative_error_max,rms_learned_prediction_discrepancy_vs_cache_reference_l2,observed_order_to_next,next_substeps_per_call,saturation_count,saturation_fraction,max_abs_latent,encoder_clamp_activation_count,encoder_clamp_activation_fraction,reencoding_abs_max,reencoding_rms,learned_flow_numerical_to_cache_discrepancy_ratio,learned_flow_numerical_confounding
31415,latent_query_time,0.075,1.2,16,8,120,128,512,3.8488814177047957e-07,1.7588798661982707e-07,2.4503573712308937e-07,3.450893473200267e-07,0.03681973179789602,-0.0073692453065242166,16,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2803341335895902e-07,,
31415,latent_query_time,0.075,1.2,16,16,120,256,1024,3.868591691609496e-07,1.7641823313319094e-07,2.727508899624809e-07,3.366805287896568e-07,0.036819742320143074,-0.030206928567323817,30,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2764272747055972e-07,,
31415,latent_query_time,0.075,1.2,16,30,120,480,1920,3.9427516729964674e-07,1.795395858650295e-07,2.6877901859734266e-07,3.2075536182674114e-07,0.036819710447146346,-0.10752285369462594,60,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.280498083324134e-07,1.0708263658553687e-05,False
31415,latent_query_time,0.075,1.2,16,60,120,960,3840,4.247829032707146e-07,1.940392189148099e-07,2.873531073532831e-07,3.447019594204903e-07,0.03681972468098514,,,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2716974480307211e-07,,
31415,latent_query_time,0.15,1.2,8,8,120,64,256,2.6111310287550206e-07,1.2157603257456628e-07,1.5703483668971785e-07,1.6386418622005294e-07,0.036816298573230204,0.00030977786078672197,16,0,0.0,2.944438934326172,0,0.0,9.5367431640625e-07,1.295367393317435e-07,,
31415,latent_query_time,0.15,1.2,8,16,120,128,512,2.610570422579356e-07,1.2115820280378387e-07,1.6204775477035582e-07,1.8502893794902775e-07,0.03681628421625797,0.014248774789416479,30,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.296034446815724e-07,,
31415,latent_query_time,0.15,1.2,8,30,120,240,960,2.5872922019695995e-07,1.2048333863923233e-07,1.6540084146754452e-07,1.80220553147592e-07,0.036816290124767635,-0.08077817207311346,60,0,0.0,2.944438934326172,0,0.0,7.152557373046875e-07,1.2959746776102095e-07,7.027574460113881e-06,False
31415,latent_query_time,0.15,1.2,8,60,120,480,1920,2.736290057125376e-07,1.2679458261111165e-07,1.8178815039959772e-07,1.9983332322226488e-07,0.0368162675308677,,,0,0.0,2.944438934326172,0,0.0,9.5367431640625e-07,1.2963292167139893e-07,,
