seed,model,state_source,snapshot_time,conditioning_time,sample_count,rms_residual_l2,rms_reference_l2,rms_relative_residual,residual_mean,residual_median,residual_p90,residual_p95,residual_max,relative_mean,relative_median,relative_p90,relative_p95,relative_max,cosine_mean,representation_error_max,latent_abs_max,raw_state_min,raw_state_max,raw_bound_violation_count,represented_state_min,represented_state_max,saturation_count,nonfinite_events
31415,latent_query_time,reference_trajectory,0.0,0.075,500,0.09449400692004427,0.6383428605051622,0.14803017745865446,0.0840589086189866,0.07380667701363564,0.12816471457481385,0.15955945476889583,0.24934230744838715,0.13237615983188153,0.11343348026275635,0.2080549106001854,0.2541856884956357,0.4052724540233612,0.9896060329675674,8.161702425013573e-08,2.944438934326172,0.05000000074505806,0.8000000715255737,0,0.05000000074505806,0.8000000715255737,0,0
31415,latent_query_time,reference_trajectory,0.0,0.15,500,0.09449368862609529,0.6383428605051622,0.14802967883327825,0.0840573510825634,0.07380448281764984,0.12816882282495498,0.1595614679157731,0.24934618175029755,0.1323737707659602,0.11343304812908173,0.2080548405647278,0.2541915342211721,0.4052787721157074,0.9896060705184937,8.161702425013573e-08,2.944438934326172,0.05000000074505806,0.8000000715255737,0,0.05000000074505806,0.8000000715255737,0,0
31415,latent_query_time,reference_trajectory,0.6,0.075,500,0.03602460852794906,0.6720010881323629,0.05360796160028442,0.035291535556316374,0.03426901437342167,0.04655244052410127,0.049533244036138055,0.0593033991754055,0.05341088653728366,0.05095910653471947,0.07345175966620446,0.08859928511083126,0.11845782399177551,0.9985644823312759,1.0133885552932043e-07,2.34291410446167,0.08763065934181213,0.8734002113342285,0,0.08763065189123154,0.8734002113342285,0,0
31415,latent_query_time,reference_trajectory,0.6,0.15,500,0.03602260794263397,0.6720010881323629,0.053604984543624216,0.03528957608342171,0.034269263967871666,0.046551817283034334,0.04952983055263758,0.059300705790519714,0.05340796257928014,0.050958991050720215,0.07345486134290695,0.08859318010509014,0.11845343559980392,0.9985646069049835,1.0133885552932043e-07,2.34291410446167,0.08763065934181213,0.8734002113342285,0,0.08763065189123154,0.8734002113342285,0,0
31415,latent_query_time,reference_trajectory,1.2,0.075,500,0.03840253750848665,0.6563314570022081,0.05851088973228576,0.03756183452159166,0.03632623888552189,0.050130223855376244,0.05202165059745311,0.05817549675703049,0.05821245437860489,0.05397024191915989,0.08393694460392,0.09117333069443702,0.11177493631839752,0.9983685365915298,1.086099459257639e-07,2.484848737716675,0.15186870098114014,0.9230728149414062,0,0.15186871588230133,0.9230728149414062,0,0
31415,latent_query_time,reference_trajectory,1.2,0.15,500,0.03840135740767349,0.6563314570022081,0.058509091706607466,0.03756073633953929,0.036325983703136444,0.050127331539988516,0.05201788023114204,0.058169394731521606,0.058210638385266064,0.05396929383277893,0.08393623307347299,0.0911646470427513,0.11176320910453796,0.998368781208992,1.086099459257639e-07,2.484848737716675,0.15186870098114014,0.9230728149414062,0,0.15186871588230133,0.9230728149414062,0,0
31415,latent_query_time,reference_trajectory,2.4,0.075,500,0.045398137860360725,0.4511312950614443,0.10063176365137222,0.04482304460182786,0.04680319502949715,0.051409303396940234,0.0538989482447505,0.0581190325319767,0.10100303697586059,0.10505901649594307,0.12264364361763001,0.12984911873936653,0.1509707123041153,0.9986307079792023,1.3118101094278245e-07,3.6026175022125244,0.3972976803779602,0.9734706878662109,0,0.3972976505756378,0.9734706878662109,0,0
31415,latent_query_time,reference_trajectory,2.4,0.15,500,0.045399338713321157,0.4511312950614443,0.10063442552159399,0.044824275080114606,0.046804504469037056,0.05141035914421081,0.05389983002096414,0.05811966955661774,0.10100575993210077,0.10506187751889229,0.12264580950140953,0.12985127121210097,0.1509723663330078,0.9986308152675629,1.3118101094278245e-07,3.6026175022125244,0.3972976803779602,0.9734706878662109,0,0.3972976505756378,0.9734706878662109,0,0
31415,latent_query_time,reference_trajectory,4.8,0.075,500,0.01915467418314861,0.06955994580607973,0.2753693086039529,0.018990985296666624,0.018136722967028618,0.021880397200584413,0.02538522696122527,0.02986844629049301,0.29162749060988424,0.3003551661968231,0.32580718994140623,0.32920133918523786,0.34510210156440735,0.9989349263906478,1.5979715328739985e-07,5.823498249053955,0.900017499923706,0.997051477432251,0,0.9000175595283508,0.997051477432251,0,0
31415,latent_query_time,reference_trajectory,4.8,0.15,500,0.01915467708278144,0.06955994580607973,0.27536935028933374,0.018990987423807382,0.018136722035706043,0.02188040092587471,0.025385250896215437,0.029868490993976593,0.29162750789523123,0.3003551512956619,0.32580718994140623,0.3292013108730316,0.34510210156440735,0.9989349271059036,1.5979715328739985e-07,5.823498249053955,0.900017499923706,0.997051477432251,0,0.9000175595283508,0.997051477432251,0,0
31415,latent_query_time,learned_repeated_lag_trajectory,0.0,0.075,64,0.0953303360001283,0.6375256185532329,0.1495317728822662,0.08329656327259727,0.06909961253404617,0.12032430544495583,0.17258508726954438,0.24815082550048828,0.1318198298686184,0.11164045333862305,0.19901884347200396,0.2805410966277119,0.4034309685230255,0.9894828051328659,7.264912937898771e-08,2.944438934326172,0.05000000074505806,0.8000000715255737,0,0.05000000074505806,0.8000000715255737,0,0
31415,latent_query_time,learned_repeated_lag_trajectory,0.6,0.075,64,0.04553982582522457,0.6768897227021399,0.06727805770699227,0.04410466903937049,0.041159385815262794,0.05368790626525879,0.06426767818629742,0.08552196621894836,0.06617918517440557,0.06078825704753399,0.09377169683575631,0.11732612363994106,0.12808458507061005,0.9977109571918845,6.767325544387859e-08,2.122095823287964,0.10696769505739212,0.8635043501853943,0,0.10696769505739212,0.8635043501853943,0,0
